normalized_phrase_id	canonical_phrase	exact_normalized_key	raw_phrase_variants	raw_occurrence_count	all_raw_occurrence_ids	run_orders	seed_ids	seed_phrases	provider_request_ids	carrier_locators	channels	observed_count_values	exact_duplicate_count	implicit_duplicate_group_id	implicit_duplicate_state	canonicalization_reason	lineage_state	notes
NP00001	амулет	амулет	"[""амулет""]"	7	"[""R001|results|0001"",""R002|associations|0005"",""R003|associations|0003"",""R005|associations|0002"",""R056|associations|0002"",""R058|associations|0003"",""R068|associations|0002""]"	"[""1"",""2"",""3"",""5"",""56"",""58"",""68""]"	"[""S001"",""S002"",""S003"",""S005"",""Q008"",""Q010"",""U001""]"	"[""амулет"",""оберег"",""талисман"",""талисман в машину"",""оберег Родимич"",""(амулет|оберег|талисман) Жива"",""талисман для машины""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-59d28ae6-a727-400c-8cb4-9a9e6ca352a0"",""wordstat-7fa06c3d-a03c-4daa-a1ab-a33c7583d2e6"",""wordstat-9abdd468-6be0-4488-87b0-1ef4e0c00eec"",""wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8"",""wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4"",""wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt"",""STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R001"",""STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R002"",""STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R004"",""STEP_03_WORDSTAT_RAW/MANUAL__056__wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__058__wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__068__wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185.raw.txt""]"	"[""results"",""associations""]"	"[""478857"",""478463""]"	6		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00002	счастливый амулет	счастливый амулет	"[""счастливый амулет""]"	2	"[""R001|results|0002"",""R061|associations|0001""]"	"[""1"",""61""]"	"[""S001"",""Q013""]"	"[""амулет"",""(амулет|оберег|талисман) Макошь""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__061__wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7.raw.txt""]"	"[""results"",""associations""]"	"[""158188"",""157915""]"	1		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00003	амулет дзене	амулет дзене	"[""амулет дзене""]"	1	"[""R001|results|0003""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""82078""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00004	амулет дзен	амулет дзен	"[""амулет дзен""]"	1	"[""R001|results|0004""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""79882""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00005	счастливый амулет дзен	счастливый амулет дзен	"[""счастливый амулет дзен""]"	2	"[""R001|results|0005"",""R062|associations|0001""]"	"[""1"",""62""]"	"[""S001"",""Q014""]"	"[""амулет"",""(амулет|оберег|талисман) Хорс""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__062__wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed.raw.txt""]"	"[""results"",""associations""]"	"[""79678"",""79433""]"	1		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00006	чери амулет	чери амулет	"[""чери амулет""]"	1	"[""R001|results|0006""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""72556""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00007	чере амулет	чере амулет	"[""чере амулет""]"	1	"[""R001|results|0007""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""72556""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00008	амулет город	амулет город	"[""амулет город""]"	1	"[""R001|results|0008""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""41714""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00009	счастливый амулет и город	счастливый амулет и город	"[""счастливый амулет и город""]"	1	"[""R001|results|0009""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""40209""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00010	счастливый амулет и город перестал	счастливый амулет и город перестал	"[""счастливый амулет и город перестал""]"	1	"[""R001|results|0010""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""39884""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00011	счастливый амулет и город перестал дышать	счастливый амулет и город перестал дышать	"[""счастливый амулет и город перестал дышать""]"	1	"[""R001|results|0011""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""39538""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00012	счастливый амулет глава	счастливый амулет глава	"[""счастливый амулет глава""]"	1	"[""R001|results|0012""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""34940""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00013	и город перестал дышать счастливый амулет глава	и город перестал дышать счастливый амулет глава	"[""и город перестал дышать счастливый амулет глава""]"	1	"[""R001|results|0013""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""26166""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00014	яндекс амулет	яндекс амулет	"[""яндекс амулет""]"	1	"[""R001|results|0014""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""23390""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
