family_id	original_family_label	original_triage_state	reference_family_or_boundary	external_method_tests_applied	business_fit_evidence	semantic_coherence_verdict	referent_entity_collision_verdict	ambiguity_handling_verdict	frequency_rule_verdict	provenance_verdict	coverage_state_verdict	audit_verdict	severity	recommended_correction	method_source_ids	method_source_urls	score_impact_points
F001	Прямые общие наименования «амулет», «оберег», «талисман»	plausible in-scope	R01	M02;M04;M05;M09	Observed: талисман [count=491801; run=3; authority: CLIENT_SUPPLIED_BRIEF.md:9-17; CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:6-13; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent preliminary product-class root.	Short roots remain potentially informational; no foreign referent was forced into scope.	PASS — material ambiguity is stated.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-01;S04-AUD-02;S04-AUD-04;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/training;https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
F002	Общие товарные слова с явным коммерческим модификатором	strong in-scope	R03	M02;M03;M05;M07;M08	Observed: купить четки [count=14033; run=4; authority: CLIENT_SUPPLIED_BRIEF.md:9-17; CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:6-13; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Commercial-modifier bucket is coherent enough for preliminary triage; exact offered form remains downstream.	Explicit foreign entities are separated.	PASS — strong applies to the broad commercial family, not every final row/page.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction; keep the existing do-not-infer boundary.	S04-AUD-01;S04-AUD-02;S04-AUD-04;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/training;https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
F003	Амулеты, обереги, талисманы и чётки для автомобиля	strong in-scope	R04	M02;M03;M04;M05	Observed: четки в машину [count=3680; run=4; authority: CLIENT_SUPPLIED_BRIEF.md:9-17; CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:6-13; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent car-use product family supported by brief and three Ozon titles.	Vehicle-model and parts meanings are explicitly separated in F015.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F004	Чётки как предмет	plausible in-scope	R02	M02;M03;M04;M05	Observed: четки [count=494957; run=4; authority: CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:64-112; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:client_product_title	Acceptable preliminary noun family because it is only plausible and declares morphology ambiguity.	Noun/adjective collision is visible through F014 and E013.	PASS — not forced to strong or final KEEP.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction; later row review remains required.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F005	Название из каталога вместе с «амулет/оберег/талисман/чётки»	strong in-scope	R05	M02;M03;M04;M05	Observed: алатырь оберег [count=2079; run=16; authority: CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:64-112; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:client_product_title	Catalog-name plus explicit product noun is a coherent strong preliminary signal.	Explicit game/media/place/technical contexts are excluded before this family.	PASS — claims and exact intent remain open.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F006	Знаки зодиака с товарным или коммерческим уточнением	plausible in-scope	R10	M02;M03;M04;M05	Observed: купить знак зодиака [count=3836; run=36; authority: CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:64-112; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:client_product_title	Product/commercial zodiac wording is coherently separated from general astrology.	Astrology collision remains in F012/F021.	PASS — product form is explicitly unknown.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F007	Прямое название товара/символа из Ozon без явного чужого контекста	plausible in-scope	R06	M02;M03;M04;M05	Observed: звезда лада [count=6297; run=27; authority: CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md:64-112; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:client_product_title	Direct catalog names without explicit foreign context form a plausible discovery bucket.	Collision-prone names are separately held in F008.	PASS — no intent certainty claimed.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F008	Название из каталога с наблюдаемыми омонимами	mixed/ambiguous	R06;R13;R14;R15;R16;R17	M02;M03;M04;M05;M06	Observed: алатырь [count=358217; run=16; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent ambiguity boundary around catalog names with observed competing referents.	Vehicle/game/media/place/person/Aum-type collisions are recognized, not token-merged.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F009	Форма или материал, не указанные в разрешённом каталоге	mixed/ambiguous	R08	M02;M04;M10	Observed: золотой талисман [count=38653; run=3; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent business-fact gap for unconfirmed forms/materials.	No search wording is allowed to manufacture an offer fact.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_CLIENT_FACT_ROUTE	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
F010	Значения, символика, мифология, руны и татуировки	mixed/ambiguous	R07	M03;M04;M07;M08	Observed: славянские обереги [count=23362; run=2; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	The row is an umbrella mixing meaning/history/mythology, visual/photo, runes and tattoos; those are distinct user purposes even before page clustering.	No major entity collision is forced, but the label overstates coherence.	PASS because state is mixed; wording should expose internal branches.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_WITH_WORDING_FIX	MINOR	Rename as an umbrella and enumerate at least meaning/history, visual/photo and tattoo/body-art sub-boundaries; do not imply one cluster.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	-1
