seed_id,seed_phrase,seed_class,seed_source_type,source_lineage,seed_purpose,question_to_resolve,expected_information_gain,ambiguity_noise_class,quality_coverage_role,refinement_strategy,paired_refinement_seed_ids,synonym_axis,region,planned_wordstat_mode,operator_mode,execution_priority,claim_boundary,status
Q001,"(амулет|оберег|талисман) RSOTM",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S009,"Отделить возможный товарный спрос вокруг RSOTM от общего/неизвестного значения аббревиатуры.","Есть ли запросы, где RSOTM встречается именно рядом с бизнес-классами клиента?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S009,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition; does not prove RSOTM is any specific class.",DISCOVERY_PROBE
Q002,"(амулет|оберег|талисман) Soldier Of Fortune",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S010,"Отделить товарный спрос от медиа/общих значений Soldier Of Fortune.","Есть ли связанный с товарами клиента спрос вокруг названия?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S010,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q003,"(амулет|оберег|талисман) Бусидо Путь Воина",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S011,"Проверить товарный слой поверх вероятного информационного спроса вокруг Бусидо.","Есть ли релевантные товарные формулировки с бизнес-классами клиента?",MEDIUM,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S011,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q004,"(амулет|оберег|талисман) Древо Жизни",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S016,"Сузить очень широкий символический термин до товарного контекста клиента.","Как формулируется товарный спрос вокруг Древа Жизни?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S016,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q005,"(амулет|оберег|талисман) Ом",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S017,"Отделить товарный спрос от общего духовного/информационного значения короткого слова.","Есть ли товарная ветка спроса вокруг Ом?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S017,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q006,"(амулет|оберег|талисман) Инь и Ян",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S018,"Проверить товарный спрос без зависимости от широкой информационной темы.","Есть ли релевантные товарные запросы вокруг Инь и Ян?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S018,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q007,"(амулет|оберег|талисман) Велес",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S021,"Отделить товарный слой от общего информационного спроса по имени Велес.","Есть ли релевантный товарный спрос вокруг Велеса?",MEDIUM,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S021,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q008,"оберег Родимич",QUALIFIED_NAME_REFINEMENT,EXPLICIT_OZON_TITLE_TERM,S032,"Использовать более точную формулировку, которая буквально присутствует в клиентской карточке.","Какие запросы существуют вокруг точного товарного сочетания «оберег Родимич»?",HIGH,MEDIUM,QUALIFIED_PRIMARY,EXACT_CLIENT_QUALIFIED,S032,NONE,Russia,topRequests,NONE,PRIMARY,"Exact title wording; still only a discovery probe.",DISCOVERY_PROBE
Q009,"(амулет|оберег|талисман) Молитва Иоанн Златоуст",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S033,"Отделить товарный спрос от доминирующего религиозно-информационного контекста.","Есть ли товарные запросы вокруг этой карточки?",MEDIUM,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S033,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q010,"(амулет|оберег|талисман) Жива",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S034,"Снизить неоднозначность короткого имени/слова Жива.","Есть ли релевантная товарная ветка спроса?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S034,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q011,"(амулет|оберег|талисман) Сварог",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S035,"Отделить товарный слой от информационного спроса по имени Сварог.","Есть ли релевантные товарные формулировки?",MEDIUM,MEDIUM,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S035,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q012,"(амулет|оберег|талисман) Перун",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S036,"Отделить товарный слой от информационного спроса по имени Перун.","Есть ли релевантные товарные формулировки?",MEDIUM,MEDIUM,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S036,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q013,"(амулет|оберег|талисман) Макошь",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S038,"Отделить товарный слой от информационного спроса по имени Макошь.","Есть ли релевантные товарные формулировки?",MEDIUM,MEDIUM,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S038,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q014,"(амулет|оберег|талисман) Хорс",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S040,"Снизить неоднозначность короткого имени/термина Хорс.","Есть ли товарный спрос в контексте классов клиента?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S040,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q015,"(амулет|оберег|талисман) Мара",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S041,"Снизить неоднозначность короткого имени/слова Мара.","Есть ли товарный спрос в контексте классов клиента?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S041,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q016,"(амулет|оберег|талисман) Спаси и Сохрани",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S044,"Отделить товарный спрос от общей религиозной фразы.","Есть ли товарные запросы вокруг этой формулировки?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S044,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q017,"(амулет|оберег|талисман) Чур",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S045,"Снизить неоднозначность короткого слова Чур.","Есть ли релевантная товарная ветка спроса?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S045,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q018,"(амулет|оберег|талисман) Герб России",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S046,"Отделить товарный спрос от общеинформационной темы государственного символа.","Есть ли релевантные товарные запросы?",HIGH,HIGH,QUALIFIED_PRIMARY,BUSINESS_CLASS_OR,S046,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
Q019,"Кровь и Песок (амулет|оберег|талисман)",QUALIFIED_NAME_REFINEMENT,ANALYST_COMPOSED_DIAGNOSTIC,S096,"Отделить брендовый товарный спрос от омонимии названия.","Есть ли запросы, где название бренда связано с товарными классами клиента?",HIGH,HIGH,QUALIFIED_PRIMARY,BRAND_PLUS_BUSINESS_CLASS_OR,S096,NONE,Russia,topRequests,OR_GROUP,PRIMARY,"Diagnostic brand qualification only.",DISCOVERY_PROBE
U001,"талисман для машины",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S003;CLIENT_BRIEF,"Проверить альтернативную пользовательскую формулировку автомобильного применения.","Даёт ли «для машины» отдельный спрос относительно «в машину»?",MEDIUM,MEDIUM,SYNONYM_PRIMARY,NONE,S003;S005,машина,Russia,topRequests,NONE,PRIMARY,"Composed from frozen client class + confirmed car context.",DISCOVERY_PROBE
U002,"талисман для автомобиля",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S003;CLIENT_BRIEF,"Проверить формулировку через слово «автомобиль».","Есть ли отдельная товарная лексика с «для автомобиля»?",MEDIUM,LOW,SYNONYM_PRIMARY,NONE,S003;S005,автомобиль,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U003,"талисман для авто",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S003;CLIENT_BRIEF,"Проверить короткую разговорную форму «авто».","Используют ли пользователи «для авто» в этом спросе?",MEDIUM,MEDIUM,SYNONYM_PRIMARY,NONE,S003;S005,авто,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U004,"амулет для машины",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S001;CLIENT_BRIEF,"Проверить форму «для машины» для класса амулетов.","Есть ли отдельная ветка формулировок?",MEDIUM,MEDIUM,SYNONYM_PRIMARY,NONE,S001;S007,машина,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U005,"амулет для автомобиля",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S001;CLIENT_BRIEF,"Проверить более формальную автомобильную формулировку.","Как формулируется спрос через «для автомобиля»?",MEDIUM,LOW,SYNONYM_PRIMARY,NONE,S001;S007,автомобиль,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U006,"амулет для авто",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S001;CLIENT_BRIEF,"Проверить короткую форму «авто».","Есть ли отдельная лексика через «для авто»?",MEDIUM,MEDIUM,SYNONYM_PRIMARY,NONE,S001;S007,авто,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U007,"оберег для машины",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S002;CLIENT_BRIEF,"Проверить форму «для машины» для оберегов.","Есть ли отдельная ветка формулировок?",MEDIUM,MEDIUM,SYNONYM_PRIMARY,NONE,S002;S008,машина,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U008,"оберег для автомобиля",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S002;CLIENT_BRIEF,"Проверить более формальную автомобильную формулировку.","Как формулируется спрос через «для автомобиля»?",MEDIUM,LOW,SYNONYM_PRIMARY,NONE,S002;S008,автомобиль,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
U009,"оберег для авто",USE_CONTEXT_SYNONYM,ANALYST_COMPOSED_DIAGNOSTIC,S002;CLIENT_BRIEF,"Проверить короткую форму «авто».","Есть ли отдельная лексика через «для авто»?",MEDIUM,MEDIUM,SYNONYM_PRIMARY,NONE,S002;S008,авто,Russia,topRequests,NONE,PRIMARY,"Diagnostic composition only.",DISCOVERY_PROBE
