failure_class,applicable,root_cause_relevant,regression_test,result,blocking_if_fail,evidence
F03_PROVIDER_SUCCESS_VS_EVIDENCE_PERSISTENCE,true,true,Confirm future SUCCESS states require complete RAW persistence/readback before semantic use.,PASS,true,Every seed carries raw_persistence_rule and downstream_03a_03b_rule; provider execution is not released.
F03A_DESTRUCTIVE_NORMALIZATION,true,true,Confirm no Step07 wording/provenance is rewritten and future normalization retains raw identity.,PASS,true,794 candidate identities copied unchanged; 1060 linked provenance rows read; STEP07_RAW_MUTATIONS=0.
F03B_UNSAFE_LEXICAL_EQUIVALENCE,true,true,"Challenge aliases, morphology and spelling variants against destructive exact-identity merging.",PASS,true,Grouping answers one acquisition question only; candidate IDs remain separate; possible variants retain upstream lineage.
F03B_AMBIGUITY_PRESERVATION,true,true,Verify collision-prone Ом/Аум and Крес branches use qualified diagnostics and do not collapse referents.,PASS,true,COLLISION_DIAGNOSTIC mode and branch-specific evidence boundaries are explicit.
F05_1_DUPLICATE_ACQUISITION,true,true,Detect any provider seed duplicating a prior scope without an explicit narrower information gain.,PASS,true,Every provider row states prior boundary and incremental gain; reusable qualified scopes are closed without a new seed.
OWNER_FACT_VS_DEMAND_QUESTION,true,true,Verify competitor/client wording is not promoted to demand truth.,PASS,true,All candidate questions and notes state discovery evidence only; no client fact or efficacy claim is inferred.
F05_8_OPERATOR_CHOICE_JUSTIFICATION,true,true,Check every seed has an operator_shape and reproducible rationale.,PASS,true,PROVIDER_SEEDS_WITHOUT_OPERATOR_RATIONALE=0.
F05_9_BROAD_VS_QUALIFIED_SCOPE,true,true,Ensure broad prior evidence never closes a narrower product/informational question.,PASS,true,Related broad evidence is marked RELATED_BUT_INSUFFICIENT; BROAD_EVIDENCE_USED_TO_CLOSE_NARROWER_QUESTION=0.
F05_10_TEMPORAL_SNAPSHOT_OVERCLAIM,true,true,Check all positive/zero outcomes remain snapshot-bounded.,PASS,true,Outcome contracts explicitly forbid permanent or universal demand claims.
F05_12_STALE_PROVIDER_FACT,true,true,Use only the frozen 2026-09-18 limits/price/method from the released research trace.,PASS,true,"Region 225, DEVICE_ALL, depth 1..2000, cost 0.02 RUB/request and quota planning match frozen authority."
F05_13_RAW_PROVIDER_ROW_PROMOTION,true,true,Confirm future provider rows require normalization and sanitation before candidate use.,PASS,true,Every seed carries the RAW -> 03A -> 03B -> Step08 rule.
F05_14_NEXT_CALL_BEFORE_RAW_READBACK,true,true,Confirm execution sequencing blocks the next item until RAW readback passes.,PASS,true,Every seed requires readback before any next provider item; preparation made zero calls.
F05_15_INFORMATION_GAIN_CONTRACT,true,true,Verify no seed exists only because a Step07 candidate exists.,PASS,true,PROVIDER_SEEDS_WITHOUT_INFORMATION_GAIN=0; shared member IDs are explicit.
F05_16_ZERO_RESULT_OVERCLAIM,true,true,Challenge zero-result wording for universal-demand claims.,PASS,true,Every zero contract is phrase/operator/region/device/snapshot bounded.
F05_17_WORK_SAMPLING_TRUNCATION,true,true,"Reconcile the complete eligible set and all linked provenance, not first-N or sample.",PASS,true,794/794 candidates and 1060/1060 linked provenance rows processed; SILENT_SKIP=0.
F07_2_RANKING_QUERY_RECALL_LIMITATION_VISIBILITY,true,true,Keep the accepted unavailable ranking-query lane visible in every downstream preparation artifact.,PASS,true,"Candidate notes, seed notes, QA and manifest retain KNOWN_RECALL_LIMITATION=ACTIVE."
