coverage_id,material_direction,source_lineage,broad_or_bare_route,qualified_or_scoped_routes,quality_state,why_quality_covered
QC001,Амулеты,CLIENT_BRIEF,S001,S007;U004;U005;U006,PASS,"Broad root plus car/use synonym routes; bare root is not the only route."
QC002,Обереги,CLIENT_BRIEF,S002,S008;U007;U008;U009,PASS,"Broad root plus car/use synonym routes; bare root is not the only route."
QC003,Талисманы,CLIENT_BRIEF,S003,S005;U001;U002;U003,PASS,"Broad root plus exact/client and synonym use routes."
QC004,Чётки,S004,S004,S006;U010;U011;U012,PASS,"Physical form root plus bounded car-context variants."
QC005,Знаки зодиака,S057,S057,S058;S059;S060;S061;S062;S063;S064;S065;S066;S067;S068;S069,PASS,"Broad family probe plus all 12 sign-scoped routes."
QC006,RSOTM,S009,S009,Q001,PASS,"Bare acronym demoted to control; qualified business-class route is primary."
QC007,Soldier Of Fortune,S010,S010,Q002,PASS,"Bare media/phrase ambiguity is controlled by qualified primary route."
QC008,Бусидо - Путь Воина,S011,S011,Q003,PASS,"Bare informational ambiguity is controlled by qualified primary route."
QC009,Древо Жизни,S016,S016,Q004,PASS,"Broad symbolic phrase demoted; qualified route is primary."
QC010,Ом,S017,S017,Q005,PASS,"Short high-noise root demoted; qualified route is primary."
QC011,Инь и Ян,S018,S018,Q006,PASS,"Broad symbolic root demoted; qualified route is primary."
QC012,Велес,S021,S021,Q007,PASS,"Bare named-entity route is deferred; qualified product-context route is primary."
QC013,Родимич,S032,S032,Q008,PASS,"Exact client-qualified wording «оберег Родимич» becomes the primary route."
QC014,Молитва Иоанн Златоуст,S033,S033,Q009,PASS,"Bare religious phrase deferred; qualified route is primary."
QC015,Жива,S034,S034,Q010,PASS,"Short ambiguous root deferred; qualified route is primary."
QC016,Сварог,S035,S035,Q011,PASS,"Named-entity ambiguity has a qualified primary route."
QC017,Перун,S036,S036,Q012,PASS,"Named-entity ambiguity has a qualified primary route."
QC018,Макошь,S038,S038,Q013,PASS,"Named-entity ambiguity has a qualified primary route."
QC019,Хорс,S040,S040,Q014,PASS,"Short ambiguous name deferred; qualified route is primary."
QC020,Мара,S041,S041,Q015,PASS,"Short ambiguous name deferred; qualified route is primary."
QC021,Спаси и Сохрани,S044,S044,Q016,PASS,"Broad religious phrase deferred; qualified route is primary."
QC022,Чур,S045,S045,Q017,PASS,"Short ambiguous token deferred; qualified route is primary."
QC023,Герб России,S046,S046,Q018,PASS,"Broad informational/state-symbol phrase deferred; qualified route is primary."
QC024,Бренд «Кровь и Песок»,CLIENT_BRIEF,S096,Q019,PASS,"Bare homonymous brand is deferred; brand+business-context route is primary."
QC025,Distinct low-noise named products,S012;S013;S014;S015;S019;S020;S022;S023;S024;S025;S026;S027;S028;S029;S030;S031;S037;S039;S042;S043,S012;S013;S014;S015;S019;S020;S022;S023;S024;S025;S026;S027;S028;S029;S030;S031;S037;S039;S042;S043,NONE,PASS,"Bare names are retained because they are comparatively distinctive; later Wordstat relevance/triage still decides actual value."
QC026,Explicit alternate writings,S047;S049;S051;S053;S054;S055;S056,S047;S049;S051;S053;S054;S055;S056,NONE,PASS,"Distinct literal title alternatives are primary discovery probes; Latin/symbol-only high-noise alternates remain deferred."
