seed_id,seed_phrase,seed_class,seed_source_type,source_product_ids_or_business_fact,source_exact_terms,seed_purpose,question_to_resolve,expected_information_gain,region,planned_wordstat_mode,operator_mode,priority_for_primary_acquisition,known_noise_risk,claim_boundary,status,defer_reason,activation_condition
S048,Gungner,EXPLICIT_ALIAS_OR_ALTERNATE_WRITING,EXPLICIT_OZON_ALIAS,1092556350,Гунгнир (Gungner) - Копьё Одина,"Проверить отдельную лексическую ветку, буквально присутствующую внутри клиентского заголовка.",Даёт ли написание «Gungner» отдельные или дополнительные реальные поисковые формулировки?,Средний: может раскрыть отдельный словарь вокруг альтернативного написания без утверждения эквивалентности.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,Alternate literal writing is preserved but expected information gain is lower / noise risk higher than the main Russian wording.,Activate in Step 05 if primary canonical-name acquisition does not resolve vocabulary coverage or exposes this spelling.
S050,Valknut,EXPLICIT_ALIAS_OR_ALTERNATE_WRITING,EXPLICIT_OZON_ALIAS,1092558299,Валькнут (Valknut) - Узел павших,"Проверить отдельную лексическую ветку, буквально присутствующую внутри клиентского заголовка.",Даёт ли написание «Valknut» отдельные или дополнительные реальные поисковые формулировки?,Средний: может раскрыть отдельный словарь вокруг альтернативного написания без утверждения эквивалентности.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,Alternate literal writing is preserved but expected information gain is lower / noise risk higher than the main Russian wording.,Activate in Step 05 if primary canonical-name acquisition does not resolve vocabulary coverage or exposes this spelling.
S052,ॐ,EXPLICIT_ALIAS_OR_ALTERNATE_WRITING,EXPLICIT_OZON_ALIAS,1112665646,Ом (санскр. ॐ) или Аум,"Проверить отдельную лексическую ветку, буквально присутствующую внутри клиентского заголовка.",Даёт ли написание «ॐ» отдельные или дополнительные реальные поисковые формулировки?,Средний: может раскрыть отдельный словарь вокруг альтернативного написания без утверждения эквивалентности.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,Alternate literal writing is preserved but expected information gain is lower / noise risk higher than the main Russian wording.,Activate in Step 05 if primary canonical-name acquisition does not resolve vocabulary coverage or exposes this spelling.
S070,знак зодиака Телец античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1834930939,Знак зодиака; Телец; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Телец / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S071,знак зодиака Рак античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1834968755,Знак зодиака; Рак; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Рак / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S072,знак зодиака Весы античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1834976037,Знак зодиака; Весы; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Весы / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S073,знак зодиака Скорпион античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835021816,Знак зодиака; Скорпион; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Скорпион / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S074,знак зодиака Стрелец античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835026306,Знак зодиака; Стрелец; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Стрелец / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S075,знак зодиака Дева античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835030733,Знак зодиака; Дева; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Дева / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S076,знак зодиака Водолей античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835035733,Знак зодиака; Водолей; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Водолей / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
