occurrence_id	run_order	seed_id	seed_phrase	provider_request_id	carrier_locator	channel	position	raw_phrase	raw_count	exact_normalized_key	normalized_phrase_id	implicit_duplicate_group_id	implicit_duplicate_state	collapsed_to_normalized_phrase_id	mapping_reason	notes
R001|results|0001	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	1	амулет	478857	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R002|associations|0005	2	S002	оберег	wordstat-59d28ae6-a727-400c-8cb4-9a9e6ca352a0	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R001	associations	5	амулет	478463	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R003|associations|0003	3	S003	талисман	wordstat-7fa06c3d-a03c-4daa-a1ab-a33c7583d2e6	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R002	associations	3	амулет	478463	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R005|associations|0002	5	S005	талисман в машину	wordstat-9abdd468-6be0-4488-87b0-1ef4e0c00eec	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R004	associations	2	амулет	478463	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R056|associations|0002	56	Q008	оберег Родимич	wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8	STEP_03_WORDSTAT_RAW/MANUAL__056__wordstat-7c93faaa-4e04-4aa9-a1e7-48adcf84e7d8.raw.txt	associations	2	амулет	478463	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R058|associations|0003	58	Q010	(амулет|оберег|талисман) Жива	wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4	STEP_03_WORDSTAT_RAW/MANUAL__058__wordstat-b97c3933-0ff9-41b4-9837-0694f0afdbc4.raw.txt	associations	3	амулет	478463	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R068|associations|0002	68	U001	талисман для машины	wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185	STEP_03_WORDSTAT_RAW/MANUAL__068__wordstat-3515351f-1a9b-426b-91c2-860e7b3d8185.raw.txt	associations	2	амулет	478463	амулет	NP00001		NONE	NP00001	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R001|results|0002	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	2	счастливый амулет	158188	счастливый амулет	NP00002		NONE	NP00002	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R061|associations|0001	61	Q013	(амулет|оберег|талисман) Макошь	wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7	STEP_03_WORDSTAT_RAW/MANUAL__061__wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7.raw.txt	associations	1	счастливый амулет	157915	счастливый амулет	NP00002		NONE	NP00002	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R001|results|0003	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	3	амулет дзене	82078	амулет дзене	NP00003		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0004	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	4	амулет дзен	79882	амулет дзен	NP00004		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0005	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	5	счастливый амулет дзен	79678	счастливый амулет дзен	NP00005		NONE	NP00005	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R062|associations|0001	62	Q014	(амулет|оберег|талисман) Хорс	wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed	STEP_03_WORDSTAT_RAW/MANUAL__062__wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed.raw.txt	associations	1	счастливый амулет дзен	79433	счастливый амулет дзен	NP00005		NONE	NP00005	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R001|results|0006	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	6	чери амулет	72556	чери амулет	NP00006		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
