family_id	family_label_plain_russian	family_definition	in_scope_boundary	out_of_scope_boundary	representative_phrases	normalized_identity_count	raw_occurrence_count	keep_identity_count	hold_identity_count	keep_raw_count	hold_raw_count	business_lineage	business_relevance_confidence	family_coherence_confidence	primary_user_task_hypothesis	secondary_task_context_coverage	identity_signal_authority	ambiguity_classes	coverage_state	later_evidence_needed	w08_candidate_mapping_summary	independent_topic_count	independent_topic_entropy_normalized	independent_warning_rows	independent_hidden_task_rows	final_intent_status	serp_cluster_status	frequency_used_for_semantic_assignment	family_gate
PSF001	Общие названия товара без уточнения	Амулет, оберег или талисман без достаточного уточнения предмета и без явной пользовательской задачи.	Прямое клиентское товарное слово без доказанного чужого референта.	Явные media/game/vehicle/entity, toy, DIY/make/craft контексты и финальный intent verdict.	"[""амулет"",""оберег"",""амулет 1"",""амулет 2"",""амулет 3"",""амулет 4"",""амулет 5"",""амулет 6""]"	2729	2806	2729	0	2806	0	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Найти или понять общий класс товара.	TOPIC_PRODUCT:2729	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF001:2717;PSF005:5;PSF010:4;PSF021:2;PSF002:1	17	0.318648	23	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF002	Общие товарные запросы с покупкой	Товарное слово с явным маркером покупки, цены, заказа, магазина или доставки.	Поддержанный класс товара и коммерческая формулировка без явного чужого объекта.	Чужая модель/медиа/игра даже при наличии слова товара.	"[""амулет озон"",""оберег цены"",""озон оберег"",""амулет авито"",""амулеты цена"",""авито обереги"",""купить амулет"",""купить оберег""]"	65	65	65	0	65	0	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	HIGH_BUSINESS_SUPPORT_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Выбрать и приобрести товар общего класса.	TASK_COMMERCE:65;TOPIC_PRODUCT:65;OBJECT_FORM:8	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	LOW_AT_FAMILY_LEVEL	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF002:62;PSF001:3	5	0.341350	1	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF003	Товары для автомобиля	Амулеты, обереги, талисманы или чётки с явным сценарием использования в машине/для водителя.	Клиент явно сообщает автомобильный ассортимент; фраза описывает использование предмета.	Марка, модель, деталь, ремонт, краска и совместимость автозапчасти.	"[""четки в авто"",""четки в машину"",""четки для авто"",""амулет в машину"",""оберег в машину"",""оберег для авто"",""амулеты для авто"",""четки для машины""]"	118	127	116	2	125	2	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	HIGH_BUSINESS_SUPPORT_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Выбрать символический товар для автомобиля или водителя.	CONTEXT_AUTOMOBILE_USE:118;OBJECT_ROSARY:61;TOPIC_PRODUCT:57;TASK_COMMERCE:14;OBJECT_FORM:8;OBJECT_STONE:4;UPSTREAM_ZODIAC_STONE_COLLISION:2;OBJECT_SYMBOL:1;TOPIC_ZODIAC:1	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	PRODUCT_VS_VEHICLE_MODEL_OR_PART	OBSERVED_BOUNDARY_NEEDS_LATER_CHECK	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF003:115;PSF012:3	10	0.353166	12	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF004	Чётки как физический предмет	Фразы о чётках/четках как предмете, включая выбор, виды и использование.	Чётки прямо присутствуют в четырёх карточках Ozon.	Явная практика без предмета, лексическое 'чётко', игры/медиа и автодетали.	"[""четки"",""4 четки"",""b четки"",""ж четки"",""четки 1"",""четки 2"",""четки б"",""четки н""]"	599	600	596	3	597	3	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Найти, выбрать или понять чётки как предмет.	OBJECT_ROSARY:599;TASK_COMMERCE:26;OBJECT_FORM:22;OBJECT_STONE:4;UPSTREAM_ZODIAC_STONE_COLLISION:3;TOPIC_PRODUCT:2;OBJECT_SYMBOL:1	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF004:590;PSF017:6;PSF012:3	6	0.143580	4	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF005	Каталожное имя с товаром, формой или покупкой	Название из разрешённого каталога рядом с товарным словом, физической формой или коммерческим маркером.	Каталожное имя явно поддержано и квалифицировано как предмет/покупка.	Одноимённая игра, медиа, место, организация или автомобильный объект.	"[""оберег ом"",""амулет чур"",""амулеты ом"",""оберег чур"",""амулет жива"",""амулет хорс"",""знич оберег"",""оберег мара""]"	468	504	328	140	363	141	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Найти или купить предмет с конкретным символом/именем.	TOPIC_CATALOG_NAME:468;TOPIC_PRODUCT:251;OBJECT_FORM:173;TASK_COMMERCE:153;UPSTREAM_CATALOG_REFERENT_UNRESOLVED:135;UPSTREAM_INSUFFICIENT_CONTEXT:5;OBJECT_SYMBOL:4;CONTEXT_AUTOMOBILE_USE:1;OBJECT_ROSARY:1	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	PRODUCT_NAME_NEEDS_REFERENT_CONFIRMATION	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF005:451;PSF009:5;PSF008:5;PSF006:4;PSF002:1;PSF020:1;PSF004:1	23	0.723359	50	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF006	Каталожное имя без достаточного уточнения	Короткое прямое имя/символ из Ozon без достаточного товарного либо чужого контекста.	Совпадение с точным каталогом сохраняет бизнес-возможность.	Автоматический KEEP, значение, страница или историческая трактовка по одному имени.	"[""знич"",""аум 1"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом""]"	2260	2284	0	2260	0	2284	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Найти объект или сведения по известному имени.	TOPIC_CATALOG_NAME:2260;UPSTREAM_CATALOG_REFERENT_UNRESOLVED:1954;UPSTREAM_INSUFFICIENT_CONTEXT:306	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF006:1944;PSF009:308;PSF017:4;PSF005:3;PSF024:1	21	0.501491	32	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF007	Значение, история и трактовка каталожных символов	Фразы о значении, истории, происхождении и трактовке поддержанных имён/символов.	Каталожное имя поддержано; информационная тема видима.	Историческая истинность, мистический эффект и будущая страница.	"[""четки смысл"",""история четок"",""обереги смысл"",""узнать оберег"",""четки история"",""значение четок"",""описание четок"",""четки значения""]"	404	421	187	217	201	220	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Понять смысл или происхождение символа/названия.	TASK_MEANING:404;TOPIC_CATALOG_NAME:311;UPSTREAM_CATALOG_REFERENT_UNRESOLVED:192;TOPIC_PRODUCT:172;TASK_EFFECT_AUDIENCE:63;OBJECT_SYMBOL:29;UPSTREAM_INSUFFICIENT_CONTEXT:23;OBJECT_ROSARY:16;OBJECT_STONE:2;UPSTREAM_ZODIAC_STONE_COLLISION:2;OBJECT_FORM:2;OBJECT_TOY:1;CONTEXT_AUTOMOBILE_USE:1;TASK_COMMERCE:1	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	PRODUCT_VS_INFORMATION	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF007:359;PSF004:15;PSF024:9;PSF006:8;PSF001:6;PSF023:4;PSF012:1;PSF003:1;PSF013:1	22	0.665865	25	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF008	Визуальные символы, руны и body-art	Изображения, символы, руны, тату, эскизы и визуальные формы, пересекающиеся с каталогом.	Имя/символ может совпадать с ассортиментом.	Утверждение, что тату/картинка является продаваемым товаром или отдельной страницей.	"[""тату четки"",""тату четок"",""четки обои"",""четки фото"",""амулет фото"",""оберег фото"",""обои оберег"",""руна оберег""]"	464	469	121	343	121	348	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Посмотреть или использовать визуальное изображение символа.	TASK_VISUAL:401;TOPIC_CATALOG_NAME:331;UPSTREAM_CATALOG_REFERENT_UNRESOLVED:281;TOPIC_PRODUCT:95;OBJECT_SYMBOL:69;UPSTREAM_INSUFFICIENT_CONTEXT:62;TASK_MEANING:62;OBJECT_ROSARY:24;TASK_EFFECT_AUDIENCE:18;TASK_COMMERCE:6;CONTEXT_AUTOMOBILE_USE:4;OBJECT_FORM:4	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	PRODUCT_VS_INFORMATION	OBSERVED_FULL_VOLUME	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF008:331;PSF006:49;PSF024:31;PSF004:20;PSF023:13;PSF001:9;PSF009:5;PSF003:4;PSF005:1;PSF002:1	24	0.753468	69	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF009	Каталожные имена с омонимами	Поддержанное каталогом имя, для которого фраза оставляет конкурирующий референт.	Каталожное имя сохраняет возможную товарную связь.	Решение по одному токену или историческому family label.	"[""велестрой"",""триглавый"",""агисхьяльм"",""даждьбогов день"",""девушки алатыри"",""илья громовиков"",""громовиков отзывы"",""громовиков хирург""]"	26	26	0	26	0	26	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Уточнить, какой объект скрывается за именем.	UPSTREAM_CATALOG_REFERENT_UNRESOLVED:26;OBJECT_FORM:1	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	OBSERVED_COLLISION_ZONE	STEP10_OR_LATER_SERP_UNDER_SEPARATE_RELEASE	PSF006:23;PSF009:2;PSF005:1	6	0.330557	0	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
PSF010	Форма или материал вне подтверждённых фактов	Физические формы и материалы, наблюдаемые в спросе, но обычно не указанные в 76 заголовках.	Товарный контекст возможен.	Вывод о наличии конкретной формы/материала без client fact.	"[""бусы обереги"",""кулон амулет"",""кулон оберег"",""оберег сталь"",""брелок амулет"",""брелок оберег"",""золото амулет"",""кольцо амулет""]"	84	89	65	19	66	23	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_AMBIGUOUS_NOT_FINAL	INDEPENDENT_PASS_NOT_FINAL	Выбрать товар по форме или материалу.	OBJECT_FORM:84;TOPIC_PRODUCT:65;UPSTREAM_INSUFFICIENT_CONTEXT:19;TASK_COMMERCE:4	STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OWNER_FACT_GAP_WITH_OBSERVED_DEMAND	OWNER_FACT_THEN_STEP10_IF_NEEDED	PSF010:77;PSF023:5;PSF008:2	7	0.414757	2	0	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	NO	PASS
