record_type	record_id	related_family_id	source_member_count	source_raw_occurrence_count	current_problem_or_finding	audit_classification	full_volume_evidence	audit_verdict	required_action	provider_call_made	step03b_state_changed	step04_corrected_in_this_pass
EXPANSION_QUEUE	PSQ001	PSF025	0	0	Три точных клиентских названия не имеют текущей квалифицированной наблюдаемой ветви.	VALID_GAP	0 current identities for RSOTM/Soldier Of Fortune/Бусидо exact branches; catalog supports only a future bounded hypothesis.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ002	PSF017	234	236	Молитвенная ветвь смешивает текст/практику и возможный физический товар.	OWNER_FACT_FIRST	PSF017 has 234 mixed members, while the physical form of the prayer card is an owner fact, not a provider inference.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ003	PSF009	336	338	Две карточки «Герб России» не раскрывают физическую форму, а текущая квалифицированная ветвь пуста.	OWNER_FACT_FIRST	Exact `Герб России` observations are 0; the queue evidence cell is family-generic, and physical form must be confirmed by owner first.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ004	PSF026	0	0	Товарно-квалифицированная брендовая ветвь отсутствует.	VALID_GAP	0 current product-qualified `Кровь и Песок` identities; brief supports a future bounded brand/product check only.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ005	PSF009	336	338	Ом/Аум имеет товарное имя и несколько религиозных, медийных и промышленных референтов.	DUPLICATES_EXISTING_EVIDENCE	The universe already contains 4 qualified PSF005 `ом` product identities; only `аум` lacks that branch, so the combined probe duplicates current evidence.	REWORK_REQUIRED	Do not call provider in this audit; revise/de-duplicate the queue only in an approved correction pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ006	PSF019	96	97	Гунгнир/Копьё Одина пересекается с играми и игровыми предметами.	DUPLICATES_EXISTING_EVIDENCE	The universe already contains 12 qualified PSF005 `гунгнир*` identities plus additional product-qualified Odin-spear evidence.	REWORK_REQUIRED	Do not call provider in this audit; revise/de-duplicate the queue only in an approved correction pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ007	PSF021	168	168	Алатырь, Триглав, Ратиборец, Знич и Громовик имеют наблюдаемые place/person/organization collisions.	DUPLICATES_EXISTING_EVIDENCE	PSF005 already contains 79 qualified identities across Алатырь/Триглав/Ратиборец/Знич/Громовик.	REWORK_REQUIRED	Do not call provider in this audit; revise/de-duplicate the queue only in an approved correction pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ008	PSF018	558	568	Белобог, Чернобог и Мара пересекаются с медиа/играми.	DUPLICATES_EXISTING_EVIDENCE	PSF005 already contains 13 qualified identities across Белобог/Чернобог/Мара.	REWORK_REQUIRED	Do not call provider in this audit; revise/de-duplicate the queue only in an approved correction pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ009	PSF012	608	620	Все 12 знаков есть в каталоге, но физическая форма/материалы не указаны.	OWNER_FACT_FIRST	All 12 signs are catalog-supported, but form/material is explicitly missing from owner facts.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ010	PSF022	33	33	Формы `четка/чётка` и лексический шум остаются collision-зоной.	DUPLICATES_EXISTING_EVIDENCE	The durable historical E013 `!чётки` provider evidence is preserved and mapped to current PSQ010; replay would duplicate evidence.	REWORK_REQUIRED	Do not call provider in this audit; revise/de-duplicate the queue only in an approved correction pass.	NO	NO	NO
