queue_id	family_id	current_problem	current_w09_gate	prior_acquisition_overlap	existing_evidence_locator	owner_fact_dependency	search_demand_question	recommended_disposition	candidate_id_or_none	candidate_phrase_or_none	operator_or_scope_gain	positive_information_gain	negative_result_value	stop_condition	literal_duplicate_check	semantic_duplicate_check	collision_risk	later_route	confidence
PSQ001	PSF025	Три exact catalog names have zero qualified current observations.	CHALLENGE_FOR_INCREMENTAL_INFORMATION_GAIN	EXACT_SCOPE_ALREADY_EXECUTED_Q001_Q002_Q003	STEP_02_PRIMARY_ACQUISITION_MANIFEST_V2.csv#Q001-Q003|STEP_03_WORDSTAT_RAW/001__Q001__wordstat-batch-9292c032-e48e-443e-8576-a51ad4b2c8cc.txt|STEP_03_WORDSTAT_RAW/RECOVERED__050__wordstat-619ef51a-c0a8-4a6b-9f7e-4f1709aae204.json|STEP_03_WORDSTAT_RAW/RECOVERED__051__wordstat-2e63726e-3660-4838-b5d4-b56bbfcb00f5.json	NO	Whether exact catalog names yield product-qualified demand vocabulary.	CLOSED_EXISTING_DURABLE_EVIDENCE_NO_REPROBE	NONE	NONE	ZERO_FOR_REPLAY	Existing exact product-class probes already answer the bounded acquisition question.	Already realized: no observed result/association rows; Q001 empty body must not be restated as totalCount=0.	Permanent for the same scope; reopen only on material new catalog scope under a new release.	DUPLICATE_EXACT_NAME_PLUS_PRODUCT_CLASS_SCOPE	SEMANTIC_DUPLICATE_NO_NEW_OPERATOR_OR_SCOPE_GAIN	LOW_IF_REUSED; HIGH_IF_SPECULATIVE_TITLE_VARIANTS_ARE_INVENTED	OWNER_OR_LATER_SCOPE_CHANGE_ONLY	HIGH
PSQ002	PSF017	Prayer/text versus physical form cannot be resolved by provider evidence.	OWNER_FACT_FIRST	FAMILY_EVIDENCE_EXISTS_BUT_PHYSICAL_FORM_IS_NOT_SEARCH_EVIDENCE	STEP_04_CURRENT_AUTHORITY_TARGETED_EXPANSION_QUEUE_2026-09-11.tsv#PSQ002|STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv#PSF017	YES_PHYSICAL_FORM	None until the owner confirms whether the catalog item is a physical product and which form.	OWNER_FACT_HOLD_NO_PROVIDER	NONE	NONE	NOT_APPLICABLE	Only an owner fact can create a safe later demand question.	Preserves UNKNOWN without manufacturing inventory truth.	Stop now; owner fact and separate release required.	NOT_APPLICABLE	SEARCH_CANNOT_RESOLVE_OWNER_FACT	HIGH_UNSUPPORTED_INVENTORY_INFERENCE	OWNER_FACT	HIGH
PSQ003	PSF025	Heraldic/catalog form is not stated in durable client facts.	OWNER_FACT_FIRST	NO_QUALIFIED_ROWS_AND_NO_OWNER_FORM_AUTHORITY	STEP_04_CURRENT_AUTHORITY_TARGETED_EXPANSION_QUEUE_2026-09-11.tsv#PSQ003|CLIENT_SUPPLIED_ASSORTMENT_MANIFEST.md	YES_PHYSICAL_FORM	None until the owner confirms the physical form of Герб России.	OWNER_FACT_HOLD_NO_PROVIDER	NONE	NONE	NOT_APPLICABLE	Only confirmed form would define a later bounded hypothesis.	Preserves UNKNOWN; absence of search rows is not absence of inventory.	Stop now; owner fact and separate release required.	NOT_APPLICABLE	SEARCH_CANNOT_RESOLVE_OWNER_FACT	HIGH_INVENTORY_INFERENCE	OWNER_FACT	HIGH
PSQ004	PSF026	Qualified Blood & Sand brand-product branch remains zero.	CHALLENGE_FOR_INCREMENTAL_INFORMATION_GAIN	EXACT_BRAND_PLUS_PRODUCT_SCOPE_ALREADY_EXECUTED_Q019	STEP_02_PRIMARY_ACQUISITION_MANIFEST_V2.csv#Q019|STEP_03_WORDSTAT_RAW/MANUAL__067__wordstat-0b5fe42d-3b5c-4cb3-aa1f-76c77ea6ec12.raw.txt	NO	Whether Blood & Sand has product-qualified demand vocabulary.	CLOSED_EXISTING_DURABLE_EVIDENCE_NO_REPROBE	NONE	NONE	ZERO_FOR_REPLAY	Q019 is the same brand+product question and already returned no result/association rows.	Already realized: totalCount=1 with zero materialized result/association rows closes this bounded round, not demand truth globally.	Permanent for identical scope; reopen only for a fact-supported new brand alias under a new release.	DUPLICATE_EXACT_BRAND_PLUS_PRODUCT_SCOPE	SEMANTIC_DUPLICATE_NO_DISTINGUISHING_QUALIFIER	LOW_IF_REUSED; HIGH_IF_UNSUPPORTED_ALIAS_IS_INVENTED	MATERIAL_NEW_BRAND_FACT_ONLY	HIGH
PSQ005	PSF006	Aum-only physical-product branch remains absent; Om is already covered.	CHALLENGE_FOR_INCREMENTAL_INFORMATION_GAIN	S053_BROAD_AUM_EXISTS_AND_Q005_QUALIFIED_OM_EXISTS_BUT_QUALIFIED_AUM_DOES_NOT	STEP_02_PRIMARY_ACQUISITION_MANIFEST_V2.csv#S053,Q005|STEP_03A_NORMALIZATION_LEDGER_2026-09-11.tsv|STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv	NO	Whether the distinct Cyrillic Аум spelling has physical-product-qualified current demand evidence.	SURVIVES_AS_ONLY_FUTURE_FIRST_CANDIDATE_NOT_EXECUTED	W10C001	(амулет|оберег|талисман) Аум	YES_AUM_SPELLING_PLUS_PRODUCT_CLASS_QUALIFICATION	A positive response supplies Aum-specific product vocabulary absent from broad S053 and Om-only Q005.	A zero/empty response closes the Aum-only branch without replaying Om or inferring demand absence globally.	Exactly one later GetTop request; stop on any success, empty result, validation failure or provider failure; no automatic retry.	NO_EXACT_PHRASE_MATCH_IN_79_ROW_MANIFEST	NON_DUPLICATE_DISTINCT_SPELLING_AND_SCOPE; OM_IS_EXPLICITLY_EXCLUDED_AS_PROOF	HIGH_RELIGIOUS_MEDIA_AUMA_INDUSTRIAL_AND_OM_EQUIVALENCE_COLLISIONS_REQUIRE_STEP03A_03B	SEPARATE_PROVIDER_EXECUTION_RELEASE	HIGH
PSQ006	PSF006	Gungnir/Odin spear hypothesis already has durable qualified evidence.	REUSE_ONLY	FULL_DURABLE_S014_S049_EVIDENCE_AND_ACCEPTED_W09_REUSE_AUTHORITY	STEP_03A_NORMALIZATION_LEDGER_2026-09-11.tsv#S014,S049|STEP_04_CURRENT_AUTHORITY_TARGETED_EXPANSION_QUEUE_2026-09-11.tsv#PSQ006	NO	No current search gap; map existing Gungnir/Odin-spear evidence.	CLOSED_EXISTING_DURABLE_EVIDENCE_NO_REPROBE	NONE	NONE	ZERO_REUSE_ONLY	213 source occurrences / 211 identities plus accepted qualified evidence already cover the branch.	Not applicable; the existing evidence already provides the stop value.	Permanent unless material inventory/scope changes under a new release.	DUPLICATE_EXISTING_SEED_SCOPE	SEMANTIC_DUPLICATE_QUALIFIED_EVIDENCE_EXISTS	KNOWN_GAME_WEAPON_REFERENT_PRESERVED	REUSE_ONLY	HIGH
PSQ007	PSF021	Named entity collisions already have durable qualified evidence.	REUSE_ONLY	FULL_DURABLE_S023_S024_S025_S028_S029_EVIDENCE_AND_ACCEPTED_W09_REUSE_AUTHORITY	STEP_03A_NORMALIZATION_LEDGER_2026-09-11.tsv#S023,S024,S025,S028,S029|STEP_04_CURRENT_AUTHORITY_TARGETED_EXPANSION_QUEUE_2026-09-11.tsv#PSQ007	NO	No current search gap; reuse observed entity/product collisions.	CLOSED_EXISTING_DURABLE_EVIDENCE_NO_REPROBE	NONE	NONE	ZERO_REUSE_ONLY	2412 source occurrences / 2409 identities include the named branches and accepted qualified collisions.	Not applicable; the branch is already observed.	Permanent unless material upstream scope changes.	DUPLICATE_EXISTING_NAMED_SEEDS	SEMANTIC_DUPLICATE_ENTITY_AND_PRODUCT_EVIDENCE_EXISTS	PLACE_PERSON_ORGANIZATION_COLLISIONS_REMAIN_AMBIGUOUS	REUSE_ONLY	HIGH
PSQ008	PSF006	Belobog/Chernobog/Mara branches already have durable evidence.	REUSE_ONLY	FULL_DURABLE_S019_S020_Q015_EVIDENCE_AND_ACCEPTED_W09_REUSE_AUTHORITY	STEP_03A_NORMALIZATION_LEDGER_2026-09-11.tsv#S019,S020,Q015|STEP_04_CURRENT_AUTHORITY_TARGETED_EXPANSION_QUEUE_2026-09-11.tsv#PSQ008	NO	No current search gap; reuse Belobog/Chernobog/Mara evidence.	CLOSED_EXISTING_DURABLE_EVIDENCE_NO_REPROBE	NONE	NONE	ZERO_REUSE_ONLY	703 source occurrences / 688 identities cover the branches and accepted qualified evidence.	Not applicable; the branch is already observed.	Permanent unless material upstream scope changes.	DUPLICATE_EXISTING_NAMED_SEEDS	SEMANTIC_DUPLICATE_QUALIFIED_AND_COLLISION_EVIDENCE_EXISTS	MEDIA_GAME_MYTHOLOGY_COLLISIONS_REMAIN_AMBIGUOUS	REUSE_ONLY	HIGH
PSQ009	PSF012	Zodiac forms/materials are not confirmed by catalog titles.	OWNER_FACT_FIRST	ZODIAC_SEARCH_VOCABULARY_EXISTS_BUT_FORM_MATERIAL_IS_OWNER_TRUTH	STEP_04_CURRENT_AUTHORITY_TARGETED_EXPANSION_QUEUE_2026-09-11.tsv#PSQ009|STEP_04_CURRENT_AUTHORITY_IDENTITY_SIGNAL_LEDGER_2026-09-11.tsv#PSF012	YES_FORM_AND_MATERIAL	None until owner supplies catalog form/material facts.	OWNER_FACT_HOLD_NO_PROVIDER	NONE	NONE	NOT_APPLICABLE	Confirmed owner facts could later define a bounded 12-sign template.	Preserves UNKNOWN and blocks search-demand-to-inventory leakage.	Stop now; owner fact and separate release required.	NOT_APPLICABLE	SEARCH_CANNOT_PROVE_FORM_OR_MATERIAL	HIGH_UNSUPPORTED_CATALOG_TEMPLATE	OWNER_FACT	HIGH
PSQ010	PSF004	Negative !rosary evidence E013 is durable and must not replay.	REUSE_E013_NO_REPLAY	DURABLE_E013_NEGATIVE_MORPHOLOGY_EVIDENCE_ALREADY_EXISTS	STEP_05_E013_WORDSTAT_EVIDENCE_RECEIPT_2026-09-10.md|STEP_05_WORDSTAT_RAW/STEP05__E013__wordstat-132a43ff-7cf9-4544-a6e2-68da666c4813.raw.txt	NO	No current search gap; reuse durable !чётки evidence.	CLOSED_REUSE_E013_NO_REPLAY	NONE	NONE	ZERO_REUSE_ONLY	E013 already contributes 2000 results and 19 associations as the durable morphology control.	Already realized; replay would duplicate completed evidence.	Permanent unless material scope changes and a new release expressly reopens it.	DUPLICATE_EXACT_HISTORICAL_REQUEST	SEMANTIC_DUPLICATE_SAME_MORPHOLOGY_CONTROL	BROAD_NEGATIVE_OPERATOR_EVIDENCE_IS_NOT_FINAL_RELEVANCE	REUSE_ONLY	HIGH
