queue_id	current_family_id	historical_relation	current_gate	provider_now_candidate	owner_fact_required_before_provider	existing_evidence_reuse	defer_route	current_reason	provider_replay_forbidden_without_gap_proof
PSQ001	PSF025	MERGES_HISTORICAL_E001_E002_E003	NEW_PROVIDER_CANDIDATE_NEEDS_DEDUPED_PROBE_DESIGN	YES	NO	NO	NONE	Zero-observation exact client-name coverage gap remains, but Step03 already probed related formulations; Work must prove a genuinely new bounded formulation before any call.	YES
PSQ002	PSF017	PRESERVES_HISTORICAL_E004	OWNER_FACT_FIRST	NO	YES	NO	OWNER_CLIENT_FACT	Physical form of «Молитва Иоанн Златоуст» is not established by search demand; provider work is conditional on client fact.	YES
PSQ003	PSF009	PRESERVES_HISTORICAL_E005	OWNER_FACT_FIRST	NO	YES	NO	OWNER_CLIENT_FACT	«Герб России» physical form is absent from frozen titles; do not invent product form from queries.	YES
PSQ004	PSF026	PRESERVES_HISTORICAL_E006	NEW_PROVIDER_CANDIDATE_NEEDS_DEDUPED_PROBE_DESIGN	YES	NO	NO	NONE	Brand+product branch is zero-observation, but primary acquisition already contained brand/product wording; Work must design non-duplicate diagnostic wording or mark no-information-gain.	YES
PSQ005	PSF009	PRESERVES_HISTORICAL_E008	NEW_PROVIDER_CANDIDATE_NEEDS_DEDUPED_PROBE_DESIGN	YES	NO	NO	NONE	Ом/Аум is highly homonymous; only a bounded physical-product qualifier with information gain may be acquired.	YES
PSQ006	PSF019	PRESERVES_HISTORICAL_E009	NEW_PROVIDER_CANDIDATE_NEEDS_DEDUPED_PROBE_DESIGN	YES	NO	NO	NONE	Гунгнир/Копьё Одина intersects games; a new probe is allowed only if it differs materially from existing primary catalog-name/product probes.	YES
PSQ007	PSF021	PRESERVES_HISTORICAL_E010	NEW_PROVIDER_CANDIDATE_NEEDS_DEDUPED_PROBE_DESIGN	YES	NO	NO	NONE	Алатырь/Триглав/Ратиборец/Знич/Громовик entity collisions require bounded product qualifiers; no broad stem/entity replay.	YES
PSQ008	PSF018	PRESERVES_HISTORICAL_E011	NEW_PROVIDER_CANDIDATE_NEEDS_DEDUPED_PROBE_DESIGN	YES	NO	NO	NONE	Белобог/Чернобог/Мара media/game collisions may justify bounded physical-product probes after acquisition-history deduplication.	YES
PSQ009	PSF012	PRESERVES_HISTORICAL_E012	OWNER_FACT_FIRST	NO	YES	NO	OWNER_CLIENT_FACT	All 12 zodiac signs exist in catalog but physical form/material is not frozen; fact must precede templated expansion.	YES
PSQ010	PSF022	PRESERVES_HISTORICAL_E013	REUSE_EXISTING_PROVIDER_EVIDENCE_FIRST	NO	NO	YES	E013_DURABLE_WORDSTAT	Durable `!чётки` GetTop already has 2000 results + 19 associations and remote readback PASS. Do not replay. Work must decide whether it fully closes the current morphology gap or whether a distinct singular-form gap remains.	YES
PSQ011	PSF020	PRESERVES_HISTORICAL_E014	DEFER_TO_STEP10_UNLESS_CONCRETE_BOUNDARY_SURVIVES	NO	NO	NO	STEP10	Current Step04 already has strong supported car-use coverage plus collision family; queue itself says no probe until Step10 leaves a concrete unresolved boundary.	YES
PSQ012	PSF010	PRESERVES_HISTORICAL_E015	OWNER_FACT_ONLY_NO_PROVIDER_NOW	NO	YES	NO	OWNER_CLIENT_FACT	Physical forms/materials/sizes cannot be proven from demand; no provider expansion before client fact.	YES
PSQ013	PSF011	PRESERVES_HISTORICAL_E016	OWNER_FACT_ONLY_NO_PROVIDER_NOW	NO	YES	NO	OWNER_CLIENT_FACT	Effect/audience claims need client-approved claim boundary, not more Wordstat evidence now.	YES
