competitor_authority_id,canonical_site,attempt1_inspected_urls,attempt1_inaccessible_urls,recovery_urls_attempted,recovery_inspected_urls,recovery_target_blocked_urls,recovery_environment_failure_urls,new_urls_discovered,page_evidence_rows,remaining_unresolved_or_environment_failure_urls,recovery_status,notes
S07A001,wildberries.ru,0,23,23,1,22,0,0,1,0,COMPLETE_WITH_TARGET_BLOCK_EVIDENCE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A002,ozon.ru,0,27,27,26,0,0,0,27,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A003,market.yandex.ru,0,20,20,20,0,0,0,20,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A004,livemaster.ru,0,11,11,11,0,0,0,11,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A005,avito.ru,0,8,8,8,0,0,0,8,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A006,aliexpress.ru,0,2,2,0,2,0,0,0,0,COMPLETE_WITH_TARGET_BLOCK_EVIDENCE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A007,joom.ru,0,2,2,2,0,0,0,2,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A008,ru.wikipedia.org,0,17,17,17,0,0,0,17,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A009,ru.ruwiki.ru,0,8,8,8,0,0,0,8,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A010,kartaslov.ru,24,552,552,260,0,0,0,552,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A011,ru.wiktionary.org,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
