queue_id	step04_family_id	w09_disposition	step05_w10_entry_gate	provider_candidate_for_reconciliation	provider_ready_now	owner_fact_required	existing_evidence_reuse	defer_route	historical_evidence	w10_required_action	hard_stop
PSQ001	PSF025	VALID_INCREMENTAL_SEARCH_GAP	CHALLENGE_FOR_INCREMENTAL_INFORMATION_GAIN	YES	NO	NO	NO	NONE	Step03 related formulations already exist	Reconcile exact-name targets against all Step02/03 evidence; design one genuinely non-duplicate bounded formulation only if information gain survives	No provider execution in W10; one later bounded round maximum after separate release
PSQ002	PSF017	OWNER_FACT_GAP	OWNER_FACT_FIRST	NO	NO	YES	NO	OWNER_CLIENT_FACT	Current family evidence exists but physical-form fact absent	Preserve UNKNOWN; request/await owner fact before any later search-demand question	Stop without owner fact
PSQ003	PSF025	OWNER_FACT_GAP	OWNER_FACT_FIRST	NO	NO	YES	NO	OWNER_CLIENT_FACT	No qualified Герб России physical-form authority	Preserve UNKNOWN; owner must confirm physical form	Stop without owner fact
PSQ004	PSF026	VALID_INCREMENTAL_SEARCH_GAP	CHALLENGE_FOR_INCREMENTAL_INFORMATION_GAIN	YES	NO	NO	NO	NONE	Primary acquisition already contained related brand/product wording	Prove a new bounded brand+product formulation is semantically non-duplicate and has useful negative-result value	No provider execution in W10; one later bounded round maximum after separate release
PSQ005	PSF006	VALID_INCREMENTAL_SEARCH_GAP	CHALLENGE_FOR_INCREMENTAL_INFORMATION_GAIN	YES	NO	NO	NO	NONE	Om evidence exists; Aum-qualified physical branch absent	Exclude Om-equivalent evidence and design only an Aum-specific physical-product diagnostic if incremental gain survives	No provider execution in W10; one later Aum-only round maximum after separate release
PSQ006	PSF006	EXISTING_EVIDENCE_REUSE	REUSE_ONLY	NO	NO	NO	YES	NONE	Qualified Gungnir/Odin-spear evidence already durable	Map existing evidence into current coverage state; do not reprobe	Permanent stop unless material upstream inventory/scope changes
PSQ007	PSF021	EXISTING_EVIDENCE_REUSE	REUSE_ONLY	NO	NO	NO	YES	NONE	Qualified named-entity collision evidence already durable	Map existing evidence into current coverage state; do not reprobe	Permanent stop unless material upstream inventory/scope changes
PSQ008	PSF006	EXISTING_EVIDENCE_REUSE	REUSE_ONLY	NO	NO	NO	YES	NONE	Belobog/Chernobog/Mara evidence already durable	Map existing evidence into current coverage state; do not reprobe	Permanent stop unless material upstream inventory/scope changes
PSQ009	PSF012	OWNER_FACT_GAP	OWNER_FACT_FIRST	NO	NO	YES	NO	OWNER_CLIENT_FACT	Search vocabulary exists; catalog form/material fact absent	Preserve UNKNOWN; owner fact must define any future bounded template	Stop without owner fact
PSQ010	PSF004	EXISTING_EVIDENCE_REUSE	REUSE_E013_NO_REPLAY	NO	NO	NO	YES	NONE	E013 !чётки request wordstat-132a43ff-7cf9-4544-a6e2-68da666c4813; 2000 results + 19 associations; RAW blob 550add6010ddbd10e0d807fd1a11046d2b782a4a; remote readback PASS	Reuse E013 as closed Step05 coverage evidence; no morphology replay	Permanent stop unless material upstream scope changes
PSQ011	PSF020	DEFER_TO_LATER_SERP_INTENT	DEFER	NO	NO	NO	NO	STEP10_OR_LATER_SERP	Current vehicle/collision evidence has no named unresolved provider-ready boundary	Carry forward to nuanced task/intent/SERP stages	Stop now; only later named collision can reopen through separate release
PSQ012	PSF010	OWNER_FACT_GAP	OWNER_FACT_ONLY	NO	NO	YES	NO	OWNER_CLIENT_FACT	Observed forms/materials do not prove client inventory	Preserve UNKNOWN; owner inventory fact only	No provider route at current Step05
PSQ013	PSF011	OWNER_FACT_GAP	OWNER_FACT_ONLY	NO	NO	YES	NO	OWNER_CLIENT_FACT	Search demand cannot authorize effect/audience claims	Preserve UNKNOWN; owner-approved claim boundary only	No provider route at current Step05
