v1_seed_id,v1_seed_phrase,v2_action,ambiguity_noise_class,quality_coverage_role,refinement_strategy,paired_refinement_seed_ids,rationale
S001,амулет,KEEP_BROAD_CONTROL_PRIMARY,HIGH,BROAD_CONTROL_PRIMARY,PAIR_WITH_SCOPED_USE_ROUTES,U004;U005;U006;S007,"Intentional broad client root; useful for vocabulary discovery but not sufficient alone."
S002,оберег,KEEP_BROAD_CONTROL_PRIMARY,HIGH,BROAD_CONTROL_PRIMARY,PAIR_WITH_SCOPED_USE_ROUTES,U007;U008;U009;S008,"Intentional broad client root; useful for vocabulary discovery but not sufficient alone."
S003,талисман,KEEP_BROAD_CONTROL_PRIMARY,HIGH,BROAD_CONTROL_PRIMARY,PAIR_WITH_SCOPED_USE_ROUTES,U001;U002;U003;S005,"Intentional broad client root; useful for vocabulary discovery but not sufficient alone."
S004,чётки,KEEP_BROAD_CONTROL_PRIMARY,HIGH,BROAD_CONTROL_PRIMARY,PAIR_WITH_SCOPED_USE_ROUTES,U010;U011;U012;S006,"Broad form probe is retained but quality coverage includes qualified vehicle wording."
S057,знак зодиака,KEEP_BROAD_CONTROL_PRIMARY,HIGH,BROAD_CONTROL_PRIMARY,PAIR_WITH_SIGN_SCOPED_ROUTES,S058;S059;S060;S061;S062;S063;S064;S065;S066;S067;S068;S069,"Broad family root intentionally discovers vocabulary; scoped sign probes prevent it being sole coverage."
S009,RSOTM,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q001,"Bare acronym is highly ambiguous/unknown; qualified route is safer main acquisition."
S010,Soldier Of Fortune,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q002,"Bare phrase has strong unrelated media/general interpretations."
S011,Бусидо - Путь Воина,DEMOTE_TO_DEFERRED_CONTROL,MEDIUM,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q003,"Bare phrase can be informational/book/philosophy intent; qualified route better tests product demand."
S016,Древо Жизни,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q004,"Very broad cultural/symbolic phrase; product-qualified route required."
S017,Ом,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q005,"Short highly ambiguous informational/spiritual token."
S018,Инь и Ян,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q006,"Broad symbolic/informational phrase; product context needed."
