normalized_phrase_id	canonical_phrase	sanitation_state	sanitation_reason_code	sanitation_rule	business_fit_state	ambiguity_state	raw_occurrence_count	all_raw_occurrence_ids	evidence_basis	notes
NP00002	счастливый амулет	HOLD_AMBIGUOUS	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	FULL_VOLUME_RULE_ONLY_CORRECTION::TITLE_LIKE_PRODUCT_WORD_COLLISION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	2	"[""R001|results|0002"",""R061|associations|0001""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00003	амулет дзене	HOLD_AMBIGUOUS	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	FULL_VOLUME_RULE_ONLY_CORRECTION::TITLE_LIKE_PRODUCT_WORD_COLLISION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	1	"[""R001|results|0003""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00004	амулет дзен	HOLD_AMBIGUOUS	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	FULL_VOLUME_RULE_ONLY_CORRECTION::TITLE_LIKE_PRODUCT_WORD_COLLISION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	1	"[""R001|results|0004""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00005	счастливый амулет дзен	HOLD_AMBIGUOUS	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	FULL_VOLUME_RULE_ONLY_CORRECTION::TITLE_LIKE_PRODUCT_WORD_COLLISION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	2	"[""R001|results|0005"",""R062|associations|0001""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00006	чери амулет	AUTO_EXCLUDED	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	HIGH_CONFIDENCE_OUTSIDE_FROZEN_CLIENT_SCOPE	NO_MATERIAL_IN_SCOPE_COLLISION_AFTER_CORRECTED_GUARDS	1	"[""R001|results|0006""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00007	чере амулет	AUTO_EXCLUDED	EXCLUDE_EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	FULL_VOLUME_RULE_ONLY_CORRECTION::EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	HIGH_CONFIDENCE_OUTSIDE_FROZEN_CLIENT_SCOPE	NO_MATERIAL_IN_SCOPE_COLLISION_AFTER_CORRECTED_GUARDS	1	"[""R001|results|0007""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00008	амулет город	HOLD_AMBIGUOUS	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	FULL_VOLUME_RULE_ONLY_CORRECTION::PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	1	"[""R001|results|0008""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00009	счастливый амулет и город	HOLD_AMBIGUOUS	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	FULL_VOLUME_RULE_ONLY_CORRECTION::PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	1	"[""R001|results|0009""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00010	счастливый амулет и город перестал	HOLD_AMBIGUOUS	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	FULL_VOLUME_RULE_ONLY_CORRECTION::PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	1	"[""R001|results|0010""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
NP00011	счастливый амулет и город перестал дышать	HOLD_AMBIGUOUS	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	FULL_VOLUME_RULE_ONLY_CORRECTION::PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED_FOR_LATER_EVIDENCE	1	"[""R001|results|0011""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	Corrected Step03B current authority; HOLD is preserved uncertainty and AUTO_EXCLUDED retains full lineage.
