candidate_id,display_candidate,normalized_candidate,candidate_type,step07_reconciliation_status,step07_route,competitor_source_count,source_url_count,provenance_row_count,open_demand_question,preparation_state,state_reason,existing_evidence_scope_status,existing_evidence_ids,existing_evidence_locators,existing_evidence_answer,acquisition_group_id,proposed_seed_phrase,research_mode,operator_shape,operator_rationale,regions,devices,proposed_num_phrases,depth_rationale,incremental_information_gain,positive_outcome_meaning,zero_outcome_meaning,incomplete_outcome_meaning,validation_failure_meaning,provider_failure_meaning,outcome_unknown_meaning,provider_execution_released,notes
S07C000153,"""Счастливая подкова""","""Счастливая подкова""",PRODUCT_NAME,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «""Счастливая подкова""» expose current Russia-wide Yandex demand vocabulary within the preserved «подкова» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_RECALL_FIRST,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0107,подкова на удачу,DISCOVERY_RECALL_FIRST,BARE_RECALL_SEED_NO_MORPHOLOGY_FIXATION,The distinctive topic «подкова» needs recall-first discovery; a bare seed maximizes observable current vocabulary without imposing unsupported exact-form constraints.,"[""225""]","[""DEVICE_ALL""]",2000,"2000 maximizes observable recall within one billed GetTop request; reaching the boundary will be recorded as a depth limit, never semantic completeness.",The shared seed answers an unresolved bounded question for 7 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=HORSESHOE; lane=PRODUCT; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000155,"""Удача Богов"", амулет на удачу и везение","""Удача Богов"", амулет на удачу и везение",PRODUCT_NAME,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «""Удача Богов"", амулет на удачу и везение» expose current Russia-wide Yandex demand vocabulary within the preserved «амулеты и талисманы на удачу» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_RECALL_FIRST,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0137,(амулет|оберег|талисман) (на удачу|на счастье|на везение),DISCOVERY_RECALL_FIRST,GROUPED_OR_SEMANTICALLY_COHERENT_NO_MORPHOLOGY_FIXATION,The OR group contains only explicit aliases or frozen in-scope product-class labels serving one information question for «амулеты и талисманы на удачу»; no unrelated referents are combined and morphology remains observable.,"[""225""]","[""DEVICE_ALL""]",2000,"2000 maximizes observable recall within one billed GetTop request; reaching the boundary will be recorded as a depth limit, never semantic completeness.",The shared seed answers an unresolved bounded question for 29 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=LUCK_TALISMANS; lane=PRODUCT; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000156,Скандинавская руна Феу,Скандинавская руна Феу,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Феу» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Феху / Феу» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0229,Скандинавская руна Феу,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_FEHU; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000157,Скандинавская руна Наутиз,Скандинавская руна Наутиз,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Наутиз» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Наутиз» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0248,Скандинавская руна Наутиз,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_NAUTHIZ; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000158,Скандинавская руна Иса,Скандинавская руна Иса,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Иса» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Иса» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0240,Скандинавская руна Иса,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_ISA; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000159,Скандинавская руна Йера,Скандинавская руна Йера,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Йера» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Йера» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0241,Скандинавская руна Йера,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_JERA; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000160,Скандинавская руна Эйваз,Скандинавская руна Эйваз,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Эйваз» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Эйваз» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0228,Скандинавская руна Эйваз,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_EIHWAZ; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000161,Скандинавская руна Перта,Скандинавская руна Перта,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Перта» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Перт» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0274,Скандинавская руна Перта,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_PERTH; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000162,Скандинавская руна Альгиз,Скандинавская руна Альгиз,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Альгиз» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Альгиз» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0213,Скандинавская руна Альгиз,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_ALGIZ; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000163,Скандинавская руна Соуло,Скандинавская руна Соуло,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Соуло» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Соулу» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0277,Скандинавская руна Соуло,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_SOWILO; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000164,Скандинавская руна Тейваз,Скандинавская руна Тейваз,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Тейваз» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Тейваз» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0279,Скандинавская руна Тейваз,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_TEIWAZ; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000165,Скандинавская руна Беркана,Скандинавская руна Беркана,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Беркана» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Беркана» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0221,Скандинавская руна Беркана,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_BERKANA; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
S07C000166,Скандинавская руна Эваз,Скандинавская руна Эваз,TERMINOLOGY,NEW_CANDIDATE,ELIGIBLE_NEW_CANDIDATE,1,1,1,"Does «Скандинавская руна Эваз» expose current Russia-wide Yandex demand vocabulary within the preserved «руна Эваз» direction that is not already answered by accepted durable evidence? A positive observation is discovery evidence only, not final relevance, intent, cluster or page proof.",PROVIDER_REQUIRED_PRECISION_VALIDATION,No durable accepted provider scope materially answers this distinct topic/product direction.,NO_DURABLE_EVIDENCE_FOUND,NONE,NONE,No durable evidence was found that answers the current bounded discovery question.,S08Q0226,Скандинавская руна Эваз,PRECISION_VALIDATION,NARROW_LITERAL_PHRASE_NO_MORPHOLOGY_FIXATION,"The accepted prior scope is related but insufficient, so the literal qualified phrase narrows the evidence question while avoiding automatic quotes, brackets or morphology fixation.","[""225""]","[""DEVICE_ALL""]",1000,1000 is a bounded precision depth for the narrower qualified question; it avoids treating a broad 2000-row scrape as necessary while retaining substantial lower-frequency vocabulary.,The shared seed answers an unresolved bounded question for 1 preserved candidate identity/identities without duplicating accepted evidence.,"SUCCESS_WITH_ROWS => bounded positive provider evidence only after complete RAW persistence and remote readback; then Step03A-compatible normalization, Step03B-compatible sanitation and candidate-level reconciliation.",SUCCESS_WITH_ZERO_ROWS => bounded zero for this exact phrase/operator/region/device/current snapshot only; never universal zero demand.,SUCCESS_BUT_EVIDENCE_INCOMPLETE => persist what was returned and leave the question unresolved; no semantic closure.,VALIDATION_FAILURE => request contract failed and provides no semantic answer; correction requires a separate release.,PROVIDER_FAILURE => no semantic answer; preserve the failure and do not infer demand.,OUTCOME_UNKNOWN => no semantic answer plus duplicate-execution risk; blind retry is forbidden.,false,FULL_VOLUME_794_RECONCILIATION; topic_rule=RUNE_EHWAZ; lane=INFO; Step07 wording/provenance immutable; ranking-query-source limitation ACTIVE.
