occurrence_id	run_order	seed_id	seed_phrase	provider_request_id	carrier_locator	channel	position	phrase	count	family_id	family_label	assignment_reason_code	assignment_rule	business_fit_state	ambiguity_state	notes
R001|results|0001	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	1	амулет	478857	F001	Прямые общие наименования «амулет», «оберег», «талисман»	CLIENT_BUSINESS_TERM_DIRECT_UNQUALIFIED	BASE_F001_RULE_RETAINED	DIRECT_CLIENT_BUSINESS_WORDING	MATERIAL: referent and intent are not established	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0002	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	2	счастливый амулет	158188	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	C02_HAPPY_AMULET_UNQUALIFIED_HOLD	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	original_family_id=F017; corrected_after_external_audit=true; change_scope=KNOWN_AUDIT_EXAMPLE
R001|results|0003	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	3	амулет дзене	82078	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0004	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	4	амулет дзен	79882	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0005	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	5	счастливый амулет дзен	79678	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0006	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	6	чери амулет	72556	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXPLICIT_VEHICLE_MODEL_PART_PAINT_OR_FIT_CONTEXT	BASE_F015_RULE_RETAINED	EXPLICITLY_DIFFERENT_PRODUCT_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0007	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	7	чере амулет	72556	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXPLICIT_VEHICLE_MODEL_PART_PAINT_OR_FIT_CONTEXT	BASE_F015_RULE_RETAINED	EXPLICITLY_DIFFERENT_PRODUCT_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0008	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	8	амулет город	41714	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0009	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	9	счастливый амулет и город	40209	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	C02_HAPPY_AMULET_UNQUALIFIED_HOLD	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	original_family_id=F017; corrected_after_external_audit=true; change_scope=ADDITIONAL_SIBLING
R001|results|0010	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	10	счастливый амулет и город перестал	39884	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	C02_HAPPY_AMULET_UNQUALIFIED_HOLD	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	original_family_id=F017; corrected_after_external_audit=true; change_scope=ADDITIONAL_SIBLING
