queue_id	family_id	original_expansion_reason	is_material_gap	is_gap_supported_by_end_of_step04_evidence	proposed_evidence_route_quality	provider_call_required_correct	owner_clarification_required_correct	priority_basis_quality	missing_or_overbroad_boundary	audit_verdict	severity	recommended_correction	method_source_ids	method_source_urls	score_impact_points
E001	F026	Прямой каталожный маркер RSOTM дал пустой текущий результат.	YES	YES	GOOD — one qualified title variant can test vocabulary.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_DIRECT_LISTING_GAP	Narrow to one product-qualified probe and stop on low information gain.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E002	F027	Soldier Of Fortune дал пустой текущий результат.	YES	YES	GOOD — transliteration/product qualification can disambiguate a direct title.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_DIRECT_LISTING_GAP	Keep bounded because the phrase has external media/game meanings.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E003	F028	«Бусидо — Путь Воина» дал пустой текущий результат.	YES	YES	GOOD — separating the supplied name components is a bounded vocabulary test.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_DIRECT_LISTING_GAP	Keep product qualification; do not treat Bushido concept/media as product demand.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E004	F029	«Молитва Иоанн Златоуст» дал пустой текущий результат.	YES	YES	GOOD client-first route, but it duplicates the same owner fact and conditional probe in E017.	CORRECT_CONDITIONAL_AFTER_CLIENT_FACT	CORRECT_YES	GOOD_BUT_DUPLICATED	Same physical-form/prayer boundary as E017.	MERGE_QUEUE_ITEM	MATERIAL	Merge E004 and E017 into one client-fact-gated prayer/product item.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E005	F030	«Герб России» дал пустой текущий результат.	YES	YES	GOOD — only client can state the object form; provider can later test confirmed wording.	CORRECT_CONDITIONAL_AFTER_CLIENT_FACT	CORRECT_YES	GOOD_DIRECT_LISTING_GAP	Do not probe invented forms before the client fact.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E006	F031	Брендовая связка «Кровь и Песок» + товар дала пустой результат.	YES	YES	GOOD — exact brand+product wording can test collision-safe discovery.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_BRAND_COVERAGE_GAP	Keep separate from same-name media.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E007	F032	Синоним «талисман для авто» дал пустой результат, хотя сценарий автомобиля подтверждён.	NO_AS_STANDALONE	PARTIAL — run 70 is empty, but equivalent car-use wording is already observed.	REDUNDANT with E014; another exact lexical fan-out has low incremental information.	NOT_CORRECT_AS_SEPARATE_CALL	CORRECT_NO	WEAK_STANDALONE_PRIORITY	Exact “для авто” absence is not a material family gap after runs 5/68/69.	MERGE_QUEUE_ITEM	MATERIAL	Merge into E014 and test only if the consolidated car-use boundary still has a specific information need.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	-0.5
E008	F008;F019	Ом/Аум имеет товарное имя и явные промышленные, организационные, медийные и практические смыслы.	YES	YES	GOOD — qualified product wording can separate Om/Aum from industrial/organization/practice meanings.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_COLLISION_BOUNDARY	Do not infer physical form while probing generic product qualifiers.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-05;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
E009	F008;F016	Гунгнир/Копьё Одина смешивается с игровыми предметами.	YES	YES	GOOD — product qualifiers can test the observed Gungnir/game boundary.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_COLLISION_BOUNDARY	Keep AWP/Assassin’s Creed contexts explicit.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-05;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
E010	F008;F018	Алатырь, Триглав, Ратиборец, Знич и Громовик имеют явные места/организации/людей.	YES	YES	GOOD as a bounded collision program across five named catalog products.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_COLLISION_BOUNDARY	Execute only point probes with separate provenance; do not fan out uncontrolled variants.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-05;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
E011	F008;F016;F017	Белобог, Чернобог и Мара смешиваются с играми, книгами и медиа.	YES	YES	GOOD — explicit game/media collision evidence supports qualified product probes.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_COLLISION_BOUNDARY	Keep each name’s provenance separate.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-05;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
E012	F006;F012;F021	Зодиакальные probes в основном раскрывают астрологию; товарная форма не названа клиентом.	YES	YES	GOOD — owner confirms form first; only then can product-qualified search vocabulary be tested.	CORRECT_CONDITIONAL_AFTER_CLIENT_FACT	CORRECT_YES	GOOD_HIGH_IMPACT_ASSORTMENT_BOUNDARY	Do not use provider data to invent the form of 37 zodiac listings.	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
E013	F004;F014	Чётки системно смешиваются с «чётко/чёткий».	YES	YES	GOOD — Wordstat morphology operators are designed to refine the noun/form collision.	CORRECT_STEP05_ONLY	CORRECT_NO	GOOD_MORPHOLOGY_BOUNDARY	This audit uses no later !чётки result; it judges only the ex-ante route.	KEEP_AS_IS	NONE	No correction.	S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
E014	F003;F015	Автомобильный сценарий смешивается с Chery Amulet и Renault Talisman.	YES_BUT_CONSOLIDATE	YES — car-use versus vehicle-model collision is directly observed.	GOOD in substance; overlaps E007’s same wording boundary.	CORRECT_STEP05_ONLY_AFTER_CONSOLIDATION	CORRECT_NO	GOOD_BUT_DUPLICATED	Absorb E007 and define one information-gain stopping rule.	MERGE_QUEUE_ITEM	MATERIAL	Keep E014 as the consolidated car-use collision item and absorb E007.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
