feedback_id	source_scope	finding_class	normalized_identity_count	raw_occurrence_count	deterministic_selector	representative_phrases	finding	recommended_next_gate	step03a_changed_in_w09	step03b_changed_in_w09	blocking_for_current_step04
W09FB001	PSF015	UPSTREAM_SANITATION_FINDING	6915	7283	CURRENT_W09_SCOPE=PSF015	"[""знаки зодиака камни талисманы по дате"",""дева знак зодиака стихия кулон золотой"",""знак зодиака лев мужчина купить характеристика"",""1 знак зодиака"",""2 знак зодиака"",""3 знак зодиака""]"	Zodiac information remains HOLD; no Step03B mutation.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB002	PSF018	STEP04_ROUTING_FINDING	649	659	CURRENT_W09_SCOPE=PSF018	"[""четки автор"",""четки видео"",""четки порно"",""амулет видео"",""амулет порно"",""оберег видео""]"	Media/title strength varies; all explicit signals remain auditable.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB003	PSF019+PSF028	STEP04_ROUTING_FINDING	165	167	CURRENT_W09_SCOPE=PSF019+PSF028	"[""кукла оберег"",""игрушка оберег"",""кукла талисман"",""амулеты silksong"",""амулеты силксонг"",""игрушка талисман""]"	Bounded game tokens and whole-token toy morphology remain separate.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB004	PSF020	UPSTREAM_SANITATION_FINDING	87	134	CURRENT_W09_SCOPE=PSF020	"[""оберег краска"",""амулет автомобиль"",""четки в автомобиль"",""автомобиль талисман"",""тормозные колодки амулет"",""рунический амулет для защиты автомобиля""]"	Automobile use and foreign vehicle collision remain separately signaled.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB005	PSF021	UPSTREAM_SANITATION_FINDING	118	118	CURRENT_W09_SCOPE=PSF021	"[""талисман фк"",""завод оберег"",""фк знич"",""инн оберег"",""ооо амулет"",""ооо оберег""]"	Person/place/organization collisions require bounded evidence.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB006	PSF022	UPSTREAM_SANITATION_FINDING	33	33	CURRENT_W09_SCOPE=PSF022	"[""четков"",""кс четка"",""ни четка"",""четка сон"",""гора четка"",""четка брат""]"	Rosary morphology uncertainty remains governed history.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB007	PSF005	UPSTREAM_SANITATION_FINDING	468	504	CURRENT_W09_SCOPE=PSF005	"[""оберег ом"",""амулет чур"",""амулеты ом"",""оберег чур"",""амулет жива"",""амулет хорс""]"	Catalog name plus qualifier does not automatically resolve referent.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB008	PSF017	OWNER_FACT_GAP	237	240	CURRENT_W09_SCOPE=PSF017	"[""святые четки"",""святые амулеты"",""святые обереги"",""богородица четки"",""буддийские четки"",""талисман святого""]"	Religious physical form must come from owner facts.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB009	PSF024	UPSTREAM_SANITATION_FINDING	848	965	CURRENT_W09_SCOPE=PSF024	"[""car"",""ugn"",""v i"",""бес"",""дзе"",""екб""]"	Residual/noise quarantine is not resolved by frequency.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
W09FB010	PSF011	OWNER_FACT_GAP	328	358	CURRENT_W09_SCOPE=PSF011	"[""амулет защиты"",""четки женщина"",""четки мужчины"",""амулет женщина"",""амулет ребенку"",""талисман удачи""]"	Effect/audience language must not become an unsupported claim.	MAIN_CHATGPT_REVIEW_THEN_SEPARATE_GOVERNED_STEP	NO	NO	NO_GOVERNED_FEEDBACK
