queue_id	family_id	queue_state	disposition_type	problem	global_evidence_scope_checked	global_evidence_reconciliation	equivalent_durable_evidence_found	hypothesis_specific_durable_evidence	current_family_evidence	owner_fact_gap_sent_to_provider	provider_eligible_later	provider_ready_now	incremental_information_gain	negative_result_value	stop_condition	executed_in_w09
PSQ001	PSF025	RETAINED	VALID_INCREMENTAL_SEARCH_GAP	Три exact catalog names have zero qualified current observations.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	No equivalent qualified branch in all durable evidence.	NO	qualified current identities=0; targets=RSOTM|Soldier Of Fortune|Бусидо — Путь Воина	identities=0;raw=0;examples=[]	NO	YES_AFTER_SEPARATE_STEP05_RELEASE	NO_STEP05_BLOCKED	New qualified lexicon for at least one zero branch.	A zero result proves no observed expansion and closes the round.	One bounded round or earlier stop if no distinguishing lexicon.	NO
PSQ002	PSF017	RETAINED	OWNER_FACT_GAP	Prayer/text versus physical form cannot be resolved by provider evidence.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Owner must confirm the product form first.	NO	current PSF017 identities=237; physical-form fact remains absent	"identities=237;raw=240;examples=[""святые четки"",""святые амулеты"",""святые обереги"",""богородица четки"",""буддийские четки"",""талисман святого"",""буддийский амулет"",""буддийские обереги""]"	NO	CONDITIONAL_AFTER_OWNER_FACT_AND_RELEASE	NO_STEP05_BLOCKED	Only a confirmed form creates a testable later branch.	No owner fact means no provider call and the gap remains explicit.	Stop without owner fact; otherwise one bounded probe.	NO
PSQ003	PSF025	RETAINED	OWNER_FACT_GAP	Heraldic/catalog form is not stated in durable client facts.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Owner must confirm physical form.	NO	qualified Герб России physical-form identities=0; owner form fact absent	identities=0;raw=0;examples=[]	NO	CONDITIONAL_AFTER_OWNER_FACT_AND_RELEASE	NO_STEP05_BLOCKED	A confirmed form creates a distinguishable query hypothesis.	No owner fact prevents unsafe inventory inference.	Stop without owner fact; otherwise one bounded probe.	NO
PSQ004	PSF026	RETAINED	VALID_INCREMENTAL_SEARCH_GAP	Qualified Blood & Sand brand-product branch remains zero.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	No equivalent qualified branch in all durable evidence.	NO	qualified Blood & Sand brand-product identities=0	identities=0;raw=0;examples=[]	NO	YES_AFTER_SEPARATE_STEP05_RELEASE	NO_STEP05_BLOCKED	New brand+product vocabulary absent from current universe.	A zero result closes the brand branch without repeated acquisition.	One bounded round or earlier stop.	NO
PSQ005	PSF006	RETAINED	VALID_INCREMENTAL_SEARCH_GAP	Aum-only physical-product branch remains absent; Om is already covered.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Durable Om evidence excluded; no equivalent Aum-qualified branch found.	NO	qualified Aum physical-product identities=0; unqualified/referential Aum evidence preserved elsewhere	"identities=2260;raw=2284;examples=[""знич"",""аум 1"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом""]"	NO	YES_AFTER_SEPARATE_STEP05_RELEASE	NO_STEP05_BLOCKED	Only new Aum-specific physical qualification is incremental.	A zero result closes Aum without replaying Om evidence.	One Aum-only round or earlier stop.	NO
PSQ006	PSF006	SUPPRESSED	EXISTING_EVIDENCE_REUSE	Gungnir/Odin spear hypothesis already has durable qualified evidence.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Equivalent durable evidence exists.	YES	durable qualified Gungnir/Odin-spear identities=12 (W08 reconciliation authority)	"identities=2260;raw=2284;examples=[""знич"",""аум 1"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом""]"	NO	NO_EXISTING_EVIDENCE	NO_STEP05_BLOCKED	Zero; reuse current evidence.	Not applicable because acquisition is suppressed.	Permanent stop unless upstream inventory changes.	NO
PSQ007	PSF021	SUPPRESSED	EXISTING_EVIDENCE_REUSE	Named entity collisions already have durable qualified evidence.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Equivalent durable evidence exists.	YES	durable qualified named-entity collision identities=79 (W08 reconciliation authority)	"identities=118;raw=118;examples=[""талисман фк"",""завод оберег"",""фк знич"",""инн оберег"",""ооо амулет"",""ооо оберег"",""триглав фк"",""клуб оберег""]"	NO	NO_EXISTING_EVIDENCE	NO_STEP05_BLOCKED	Zero; reuse current evidence.	Not applicable because acquisition is suppressed.	Permanent stop unless upstream inventory changes.	NO
PSQ008	PSF006	SUPPRESSED	EXISTING_EVIDENCE_REUSE	Belobog/Chernobog/Mara branches already have durable evidence.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Equivalent durable evidence exists.	YES	durable qualified Belobog/Chernobog/Mara identities=13 (W08 reconciliation authority)	"identities=2260;raw=2284;examples=[""знич"",""аум 1"",""аум 2"",""аум 3"",""аум 4"",""аум м"",""аум 10"",""аум ом""]"	NO	NO_EXISTING_EVIDENCE	NO_STEP05_BLOCKED	Zero; reuse current evidence.	Not applicable because acquisition is suppressed.	Permanent stop unless upstream inventory changes.	NO
PSQ009	PSF012	RETAINED	OWNER_FACT_GAP	Zodiac forms/materials are not confirmed by catalog titles.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Owner fact must precede any template probe.	NO	current PSF012 identities=395; catalog form/material fact absent	"identities=395;raw=402;examples=[""амулет зодиака"",""талисман зодиака"",""кулон знак зодиака"",""купить знак зодиака"",""весы зодиак талисман"",""камни зодиаки оберег"",""обереги для зодиаков"",""талисман зодиака лев""]"	NO	CONDITIONAL_AFTER_OWNER_FACT_AND_RELEASE	NO_STEP05_BLOCKED	One confirmed form can define a bounded 12-sign template.	No fact blocks provider use and preserves the unknown.	Stop without fact; otherwise one template round.	NO
PSQ010	PSF004	SUPPRESSED	EXISTING_EVIDENCE_REUSE	Negative !rosary evidence E013 is durable and must not replay.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Equivalent durable negative evidence exists.	YES	durable negative evidence E013 exists; replay=false	"identities=599;raw=600;examples=[""четки"",""4 четки"",""b четки"",""ж четки"",""четки 1"",""четки 2"",""четки б"",""четки н""]"	NO	NO_SATISFIED_NEGATIVE_EVIDENCE	NO_STEP05_BLOCKED	Zero; reuse E013.	The prior negative result already supplies the stop value.	Permanent stop unless upstream scope changes.	NO
PSQ011	PSF020	RETAINED	DEFER_TO_LATER_SERP_INTENT	Vehicle use/model boundary needs a named later collision.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	No current provider-ready gap; defer to Step10/later SERP.	NO	current PSF020 identities=87; named unresolved later collision absent	"identities=87;raw=134;examples=[""оберег краска"",""амулет автомобиль"",""четки в автомобиль"",""автомобиль талисман"",""тормозные колодки амулет"",""рунический амулет для защиты автомобиля"",""звезда лада"",""воск для авто""]"	NO	NO_UNTIL_CONCRETE_LATER_COLLISION	NO_STEP05_BLOCKED	Only a later named collision could be incremental.	Absence of a named collision means no acquisition.	Stop now; at most one later test after a separate release.	NO
PSQ012	PSF010	RETAINED	OWNER_FACT_GAP	Observed forms/materials do not prove inventory.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Owner inventory fact only.	NO	current PSF010 identities=84; owner inventory fact absent	"identities=84;raw=89;examples=[""бусы обереги"",""кулон амулет"",""кулон оберег"",""оберег сталь"",""брелок амулет"",""брелок оберег"",""золото амулет"",""кольцо амулет""]"	NO	NO_PROVIDER_OWNER_FACT_ONLY	NO_STEP05_BLOCKED	Only an owner fact resolves the gap.	No fact preserves the uncertainty without provider inference.	Stop after fact or explicit absence.	NO
PSQ013	PSF011	RETAINED	OWNER_FACT_GAP	Effect/audience claims are not client-confirmed.	ALL_DURABLE_STEP03A_POOL_STEP03B_AUTHORITY_W07_AUDIT_W08_HISTORY	Owner-approved factual claim boundary only.	NO	current PSF011 identities=328; owner-approved claim boundary absent	"identities=328;raw=358;examples=[""амулет защиты"",""четки женщина"",""четки мужчины"",""амулет женщина"",""амулет ребенку"",""талисман удачи"",""четки здоровье"",""амулет здоровья""]"	NO	NO_PROVIDER_OWNER_FACT_ONLY	NO_STEP05_BLOCKED	Only owner language is safe incremental evidence.	No approved fact blocks unsupported claims.	Stop after fact or explicit absence.	NO
