ambiguity_id,affected_product_ids,affected_skus,issue,why_not_resolvable_from_allowed_input,safe_current_state,what_additional_client_fact_would_resolve_it_if_needed,step_where_resolution_is_needed_if_known
AMB-001,1082862005;1092556350;1092558299;1106060257;1112665646;1112723580;1113280875;1113288401;1119957837;1119965443;1124658338;1124673031;1124691132;1124725450;1124733734;1124751825;1124755617;1124761013;1124764995;1217110817;1217117569;1217124642;1217129635;1217132021;1217135724;1217137863;1217141020;1217143121;1217145315;1217150153;1217152166;1366092977;1498533114;1830964558;1831102037;1831181558;1831327502;1831377069;1831403746;1831422362;1831464047;1831506538;1832435919;1834930939;1834968755;1834976037;1835021816;1835026306;1835030733;1835035733;1835037959;1835042242;1835045239;1835048645;1835050645;1835063317;1947980208;1948032144;1948039800;1948064495;1948071647;1948079096;1948085774;1948098351;1948107866;1948116414;1948128035;1948138072;2020661872;2324003802;2324384021;2324467855,1602722942;1611643847;1611695246;1623753672;1629493686;1629553898;1630033296;1630040194;1636041142;1636048691;1640251697;1640264403;1640276582;1640306007;1640326205;1640326230;1640330072;1640334195;1640337426;1720124782;1720131759;1720137256;1720141903;1720144370;1720147059;1720148880;1720151850;1720153914;1720155616;1720160556;1720161841;1842444165;1943215793;2183808182;2183921966;2183985513;2184098058;2184133137;2184153852;2184168890;2184199958;2184234912;2184932293;2186766628;2186796339;2186802133;2186836116;2186839757;2186843798;2186846833;2186848313;2186850644;2186852750;2186856503;2186857668;2186865070;2271188511;2271210394;2271219774;2271234726;2271240621;2271246783;2271251938;2271262133;2271270261;2271275793;2271285786;2271292556;2326866320;2559437928;2559748332;2559817779,Конкретная физическая форма товара не названа в заголовке.,"Разрешённый CSV содержит только идентификаторы, SKU, заголовок и статус scope; слово/название не доказывает форму изделия.","NOT_STATED; в модели сохраняется только точное название и явно написанный товарный класс, если он есть.",Тип/форма изделия по каждой карточке из карточек товара или отдельной спецификации клиента.,STEP_02 — только если форма нужна для безопасного зонда; иначе STEP_18/19 до проектирования товарного содержания.
AMB-002,1082848375;1082848825;1082852354;1082855228;1082862005;1092556350;1092558299;1106060257;1112665646;1112723580;1113280875;1113288401;1119957837;1119965443;1124658338;1124673031;1124691132;1124725450;1124733734;1124751825;1124755617;1124761013;1124764995;1217110817;1217117569;1217124642;1217129635;1217132021;1217135724;1217137863;1217141020;1217143121;1217145315;1217150153;1217152166;1366092977;1498533114;1830964558;1831102037;1831181558;1831327502;1831377069;1831403746;1831422362;1831464047;1831506538;1832435919;1834930939;1834968755;1834976037;1835021816;1835026306;1835030733;1835035733;1835037959;1835042242;1835045239;1835048645;1835050645;1835063317;1947980208;1948032144;1948039800;1948064495;1948071647;1948079096;1948085774;1948098351;1948107866;1948116414;1948128035;1948138072;2020661872;2324003802;2324384021;2324467855,1602711278;1602711870;1602715556;1602717077;1602722942;1611643847;1611695246;1623753672;1629493686;1629553898;1630033296;1630040194;1636041142;1636048691;1640251697;1640264403;1640276582;1640306007;1640326205;1640326230;1640330072;1640334195;1640337426;1720124782;1720131759;1720137256;1720141903;1720144370;1720147059;1720148880;1720151850;1720153914;1720155616;1720160556;1720161841;1842444165;1943215793;2183808182;2183921966;2183985513;2184098058;2184133137;2184153852;2184168890;2184199958;2184234912;2184932293;2186766628;2186796339;2186802133;2186836116;2186839757;2186843798;2186846833;2186848313;2186850644;2186852750;2186856503;2186857668;2186865070;2271188511;2271210394;2271219774;2271234726;2271240621;2271246783;2271251938;2271262133;2271270261;2271275793;2271285786;2271292556;2326866320;2559437928;2559748332;2559817779,"Не указаны материал, размеры, конструкция, комплектация и иные физические характеристики.","Этих полей нет в разрешённом каталоге, а из названия их выводить нельзя.",NOT_STATED для всех 76 карточек.,Полные характеристики по product_id/SKU от клиента.,По необходимости в STEP_02; обязательно до подготовки детального товарного содержания вне текущего шага.
AMB-003,1082848375;1082848825;1082852354;1082855228;1082862005;1092556350;1092558299;1106060257;1112665646;1112723580;1113280875;1113288401;1119957837;1119965443;1124658338;1124673031;1124691132;1124725450;1124733734;1124751825;1124755617;1124761013;1124764995;1217110817;1217117569;1217124642;1217129635;1217132021;1217135724;1217137863;1217141020;1217143121;1217145315;1217150153;1217152166;1366092977;1498533114;1830964558;1831102037;1831181558;1831327502;1831377069;1831403746;1831422362;1831464047;1831506538;1832435919;1834930939;1834968755;1834976037;1835021816;1835026306;1835030733;1835035733;1835037959;1835042242;1835045239;1835048645;1835050645;1835063317;1947980208;1948032144;1948039800;1948064495;1948071647;1948079096;1948085774;1948098351;1948107866;1948116414;1948128035;1948138072;2020661872;2324003802;2324384021;2324467855,1602711278;1602711870;1602715556;1602717077;1602722942;1611643847;1611695246;1623753672;1629493686;1629553898;1630033296;1630040194;1636041142;1636048691;1640251697;1640264403;1640276582;1640306007;1640326205;1640326230;1640330072;1640334195;1640337426;1720124782;1720131759;1720137256;1720141903;1720144370;1720147059;1720148880;1720151850;1720153914;1720155616;1720160556;1720161841;1842444165;1943215793;2183808182;2183921966;2183985513;2184098058;2184133137;2184153852;2184168890;2184199958;2184234912;2184932293;2186766628;2186796339;2186802133;2186836116;2186839757;2186843798;2186846833;2186848313;2186850644;2186852750;2186856503;2186857668;2186865070;2271188511;2271210394;2271219774;2271234726;2271240621;2271246783;2271251938;2271262133;2271270261;2271275793;2271285786;2271292556;2326866320;2559437928;2559748332;2559817779,"Не подтверждены значения символов, историческая/религиозная классификация и какие-либо защитные, магические или иные эффекты.","Заголовки являются клиентскими названиями, а не доказательством исторической или мистической истины.",UNKNOWN; никакие эффекты или классификации не утверждаются.,Проверенные клиентом утверждения и допустимые источники для каждого конкретного тезиса.,"Не требуется для STEP_02 как фактической лексики; потребуется до клиентского контента, если такие тезисы вообще будут использоваться."
AMB-004,1082848375;1082848825;1082852354;1082855228,1602711278;1602711870;1602715556;1602717077,Можно ли относить карточку «Чётки “Шлем ужаса - Эгисхьяльм”» к товарам для автомобиля.,Фраза «Талисман в машину» есть только в строках 1–3 и отсутствует в строке 4.,Автомобильный контекст установлен только для строк 1–3; для строки 4 — NOT_STATED.,Подтверждение назначения SKU 1602717077 от клиента.,STEP_02 до использования автомобильного контекста для этой карточки.
AMB-005,1217110817;1217117569;1217124642;1217129635;1217132021;1217135724;1217137863;1217141020;1217143121;1217145315;1217150153;1217152166;1834930939;1834968755;1834976037;1835021816;1835026306;1835030733;1835035733;1835037959;1835042242;1835045239;1835048645;1835050645;1835063317;1947980208;1948032144;1948039800;1948064495;1948071647;1948079096;1948085774;1948098351;1948107866;1948116414;1948128035;1948138072,1720124782;1720131759;1720137256;1720141903;1720144370;1720147059;1720148880;1720151850;1720153914;1720155616;1720160556;1720161841;2186766628;2186796339;2186802133;2186836116;2186839757;2186843798;2186846833;2186848313;2186850644;2186852750;2186856503;2186857668;2186865070;2271188511;2271210394;2271219774;2271234726;2271240621;2271246783;2271251938;2271262133;2271270261;2271275793;2271285786;2271292556,Как соотносятся четыре набора знаков зодиака и полон ли вариант «Античность 2».,"В заголовках видны 12 карточек без маркера, 12 «Античность», 1 «Античность 2» и 12 «Символы», но нет описания серий и причин неполного набора.",Сохраняются только наблюдаемые маркеры и фактические количества; полнота/иерархия серий — UNKNOWN.,"Определение серий клиента, список вариантов и подтверждение полноты каждого ряда.",STEP_02 может использовать маркеры как диагностическую лексику; точная товарная модель нужна к STEP_18/19.
AMB-006,1092556350;1092558299;1112665646;1124658338,1611643847;1611695246;1629493686;1640251697,"Являются ли скобки альтернативным названием, переводом, расшифровкой или вариантом товара.","Заголовки дают пары «Гунгнир (Gungner)», «Валькнут (Valknut)», «Ом (санскр. ॐ) или Аум», «Алатырь (Крест Сварога)», но не объясняют связь.",Все написания сохранены как явная лексика; отдельная серия/вариант не утверждается.,Пояснение клиента к смыслу скобок и равнозначности названий.,STEP_02 — как отдельные исходные написания без утверждения об эквивалентности; уточнение при необходимости позже.
AMB-007,1082848375,1602711278,Не раскрыто значение или расшифровка «RSOTM».,В заголовке есть только буквенная строка RSOTM.,Сохраняется буквально как название; расшифровка и смысл — UNKNOWN.,Расшифровка/описание названия от клиента.,"STEP_02 — использовать только буквальное написание, если оно включается в пробу."
AMB-008,2324384021;2324467855,2559748332;2559817779,Связь между «Герб России» и «Герб России (Логотип)».,"Два уникальных product_id/SKU имеют близкие заголовки, но CSV не описывает различия или вариантную иерархию.",Две отдельные карточки; «Логотип» сохранён только как явный маркер строки 76.,Описание различий двух SKU и значение маркера «Логотип».,STEP_02 — не сливать как один товар без подтверждения; точная связь нужна к STEP_18/19.
AMB-009,1092556350;1092558299,1611643847;1611695246,Корректность и статус латинских написаний Gungner и Valknut.,Разрешённый источник позволяет только сохранить клиентское написание; внешняя проверка запрещена на этом шаге.,Написания сохранены дословно; исправление или нормативность не утверждаются.,Подтверждённое клиентом написание/наименование.,STEP_02 — сохранять как клиентскую лексику; нормализация только после разрешённого доказательства.
AMB-010,1082848375;1082848825;1082852354;1082855228;1082862005;1092556350;1092558299;1106060257;1112665646;1112723580;1113280875;1113288401;1119957837;1119965443;1124658338;1124673031;1124691132;1124725450;1124733734;1124751825;1124755617;1124761013;1124764995;1217110817;1217117569;1217124642;1217129635;1217132021;1217135724;1217137863;1217141020;1217143121;1217145315;1217150153;1217152166;1366092977;1498533114;1830964558;1831102037;1831181558;1831327502;1831377069;1831403746;1831422362;1831464047;1831506538;1832435919;1834930939;1834968755;1834976037;1835021816;1835026306;1835030733;1835035733;1835037959;1835042242;1835045239;1835048645;1835050645;1835063317;1947980208;1948032144;1948039800;1948064495;1948071647;1948079096;1948085774;1948098351;1948107866;1948116414;1948128035;1948138072;2020661872;2324003802;2324384021;2324467855,1602711278;1602711870;1602715556;1602717077;1602722942;1611643847;1611695246;1623753672;1629493686;1629553898;1630033296;1630040194;1636041142;1636048691;1640251697;1640264403;1640276582;1640306007;1640326205;1640326230;1640330072;1640334195;1640337426;1720124782;1720131759;1720137256;1720141903;1720144370;1720147059;1720148880;1720151850;1720153914;1720155616;1720160556;1720161841;1842444165;1943215793;2183808182;2183921966;2183985513;2184098058;2184133137;2184153852;2184168890;2184199958;2184234912;2184932293;2186766628;2186796339;2186802133;2186836116;2186839757;2186843798;2186846833;2186848313;2186850644;2186852750;2186856503;2186857668;2186865070;2271188511;2271210394;2271219774;2271234726;2271240621;2271246783;2271251938;2271262133;2271270261;2271275793;2271285786;2271292556;2326866320;2559437928;2559748332;2559817779,"Какие из 76 карточек являются самостоятельными изделиями, а какие — вариантами одной товарной модели.","Все product_id и SKU уникальны, но разрешённый CSV не содержит parent/variant/group fields.",76 отдельных листингов учтены один раз; физическая продуктовая иерархия — UNKNOWN.,Вариантные связи/модельные группы по product_id или SKU от клиента.,STEP_02 не должен превращать листинги в готовую SEO-таксономию; уточнение необходимо до окончательной товарной архитектуры.
