normalized_phrase_id	canonical_phrase	sanitation_state	sanitation_reason_code	sanitation_rule	business_fit_state	ambiguity_state	raw_occurrence_count	all_raw_occurrence_ids	evidence_basis	notes
NP00002	счастливый амулет	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	OBSERVED_TITLE_LIKE_PHRASE_WITH_PRODUCT_WORD_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	2	"[""R001|results|0002"",""R061|associations|0001""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00003	амулет дзене	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	OBSERVED_TITLE_LIKE_PHRASE_WITH_PRODUCT_WORD_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	1	"[""R001|results|0003""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00004	амулет дзен	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	OBSERVED_TITLE_LIKE_PHRASE_WITH_PRODUCT_WORD_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	1	"[""R001|results|0004""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00005	счастливый амулет дзен	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	OBSERVED_TITLE_LIKE_PHRASE_WITH_PRODUCT_WORD_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	2	"[""R001|results|0005"",""R062|associations|0001""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00006	чери амулет	AUTO_EXCLUDED	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXPLICIT_VEHICLE_BRAND_MODEL_OR_PART_CONTEXT	HIGH_CONFIDENCE_OUTSIDE_FROZEN_CLIENT_SCOPE	LOW_EXPLICIT_CONTEXT	1	"[""R001|results|0006""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00007	чере амулет	AUTO_EXCLUDED	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXPLICIT_VEHICLE_BRAND_MODEL_OR_PART_CONTEXT	HIGH_CONFIDENCE_OUTSIDE_FROZEN_CLIENT_SCOPE	LOW_EXPLICIT_CONTEXT	1	"[""R001|results|0007""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00008	амулет город	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_CONTEXT_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	1	"[""R001|results|0008""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00009	счастливый амулет и город	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_CONTEXT_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	1	"[""R001|results|0009""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00010	счастливый амулет и город перестал	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_CONTEXT_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	1	"[""R001|results|0010""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
NP00011	счастливый амулет и город перестал дышать	HOLD_AMBIGUOUS	HOLD_ENTITY_COLLISION	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_CONTEXT_UNRESOLVED	UNRESOLVED_WITH_CURRENT_ALLOWED_INPUTS	MATERIAL_PRESERVED	1	"[""R001|results|0011""]"	FROZEN_CLIENT_BRIEF_AND_OZON_CATALOG_PLUS_EXPLICIT_CURRENT_RAW_PHRASE_CONTEXT	HOLD is not rejection; AUTO_EXCLUDED retains full lineage and observed counts.
